Data Source,World Development Indicators,
Last Updated Date,2021-09-15,
Country Name,Country Code,indicator, Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Armenia,ARM,GDP per capita, PPP (constant 2017 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5180.0612025078,4616.94485412872,2735.78653877911,2554.17216716616,2757.23180984117,3008.23332068624,3234.06962110572,3378.94443074421,3654.05296834871,3798.67375035142,4048.24990407114,4464.38583116475,5081.51855787396,5823.716092618,6472.14199852835,7419.87119017403,8464.48572583781,9708.41539720344,10467.5298136022,9052.38354922249,9286.19732701296,9725.27822960819,10397.654656654,10691.2767474722,11019.838784895,11321.3325403745,11303.0678498177,12115.1392902637,12715.1089539751,13653.7633812861,12592.6353675009,
American Samoa,ASM,GDP per capita, PPP (constant 2017 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GDP per capita, PPP (constant 2017 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15458.4571892781,15588.0229589094,15500.4918378665,15991.9107140353,16698.1471572791,15628.0850109655,16303.1762779464,16828.0909380957,17260.3015741427,17551.4667690828,18313.3497055005,17207.6512135618,17143.3260283248,17952.7791441441,18743.286854691,19683.5410828179,21848.8881268378,23510.7076526761,23131.577653176,20047.716006336,18205.7385326292,17605.1701396079,17966.0643624765,17642.860867551,18104.4073367164,18594.2616238259,19419.58079882,19840.2840357026,21030.3950717884,21548.7250080262,17956.315715683,
Australia,AUS,GDP per capita, PPP (constant 2017 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31058.2596709541,30542.9197143586,30298.9290163388,31213.0798529168,32114.830840244,32946.9006734039,33778.0635392223,34727.1997827083,35940.0171358725,37334.4752293048,38343.002147534,38559.9041923683,39616.3360972665,40298.8860528145,41449.8419535385,42217.136349705,42761.4056075413,44128.727085347,44835.3614074555,44771.4842140369,44991.7837148741,45463.6819958564,46427.3681999004,46814.7415105804,47289.9646101072,47636.319641906,48197.431189174,48482.6474614392,49151.6887104846,49455.5385080697,48697.8370282475,
Austria,AUT,GDP per capita, PPP (constant 2017 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37440.8371224764,38344.6538588312,38718.93304962,38603.2585486016,39378.7061153852,40367.4710458506,41260.1714020034,42076.2876519581,43535.4217533188,44996.0545966818,46403.2776992589,46811.746772924,47351.3346982706,47564.8638976916,48563.5886574222,49316.2647023136,50767.8484448075,52489.7572106205,53089.8763414956,50957.6063796813,51769.1455641151,53102.950844304,53221.0786648309,52921.8171022969,52857.0563215416,52798.0994607541,53269.3062047537,54169.9639937065,55297.6182880367,55833.3156857561,51935.6038618156,
Azerbaijan,AZE,GDP per capita, PPP (constant 2017 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7758.15403607236,7585.17951719775,5782.65027681675,4379.81407803336,3469.77031647845,3025.29387687973,3033.830388279,3178.97739607155,3463.84200968233,3687.6610145928,4063.47164104466,4431.28987324473,4813.50418477741,5264.84052596649,5701.90326352629,7222.03607503781,9605.09610840819,11914.994832597,12903.1519167445,13822.0911094279,14312.7561158751,13905.2457636452,14023.9807176578,14652.7042457179,14875.7816413327,14853.9105525729,14238.7841366188,14121.4069355591,14209.6494059309,14439.3014032972,13699.665590318,
Burundi,BDI,GDP per capita, PPP (constant 2017 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1184.84200478917,1215.88718672266,1202.10629369544,1105.22868560534,1044.71606814271,947.822209399117,861.482879059719,839.196845267928,870.043800489074,850.046931139874,828.000459963366,826.028941189357,839.777900352484,804.884213731122,817.461158471719,798.704826964119,815.053628697424,815.908194131274,827.792314504817,831.564824331731,846.169136789899,852.502621649322,862.715712963336,877.272964851954,886.235416674512,825.20566069269,794.60427137057,773.572858670972,761.524125241416,751.664152760383,731.063229715588,
Belgium,BEL,GDP per capita, PPP (constant 2017 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35506.2392661362,36022.9870333569,36426.2880979906,35935.2618401675,36980.7331576015,37783.418562422,38207.9791308757,39561.6072371458,40251.6898056164,41582.292537444,43023.30716339,43347.0501969365,43889.7485927091,44160.0566799357,45539.5854609401,46341.2896407062,47211.6639573888,48589.4600517703,48422.5782305146,47063.8790649801,47971.6303134944,48153.9390923805,48209.991519122,48203.6526833001,48747.6770466387,49455.4413365318,49828.9629137518,50442.2705419623,51110.9584679336,51742.7263830791,48210.0331113444,
Benin,BEN,GDP per capita, PPP (constant 2017 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175.20857627578,2191.8406066437,2179.50722950521,2227.35320010502,2195.82205208296,2253.11952564857,2277.76181597777,2336.5458721514,2358.28012691892,2411.99156352498,2478.21823775079,2532.63405180985,2570.78730365107,2579.69780730152,2614.21245549017,2581.64225152969,2606.8174487853,2685.13026141894,2738.19438467667,2724.08476657468,2704.7054840378,2707.86970043194,2759.84825577488,2876.90390883027,2975.85478222107,2945.97022066349,2961.4404159762,3044.51715620319,3160.7806702321,3287.30953781986,3323.14445067303,
Burkina Faso,BFA,GDP per capita, PPP (constant 2017 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.54005082607,1080.51521119654,1054.253612387,1061.58686401122,1046.60968094107,1076.46866323079,1162.45142237182,1201.95097754407,1254.13713889504,1309.40259006182,1296.74796014307,1343.54354257612,1362.28017545833,1426.61671204758,1447.50365577282,1527.02215854176,1574.73012209824,1590.83027032364,1632.94858853561,1631.19382841923,1716.35832279765,1775.77917858267,1834.54330775192,1883.79653969539,1907.94921260654,1925.33207544524,1981.429813531,2044.38698676758,2120.33026783506,2178.3228791324,2160.51152951619,
