LOCATION	Country	SUBJECT	Subject	MEASURE	Measure	TIME	Time	Unit Code	Unit	PowerCode Code	PowerCode	Reference Period Code	Reference Period	Value	Flag Codes	Flags
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1983	1983	NATCUR	National currency	0	Units			13886.77039		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1984	1984	NATCUR	National currency	0	Units			15110.59476		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1985	1985	NATCUR	National currency	0	Units			16513.114141		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1986	1986	NATCUR	National currency	0	Units			17868.326425		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1987	1987	NATCUR	National currency	0	Units			19949.028216		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1988	1988	NATCUR	National currency	0	Units			22268.361138		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1989	1989	NATCUR	National currency	0	Units			24060.864497		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1990	1990	NATCUR	National currency	0	Units			24332.292222		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1991	1991	NATCUR	National currency	0	Units			24486.345753		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1992	1992	NATCUR	National currency	0	Units			25414.964585		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1993	1993	NATCUR	National currency	0	Units			26460.067594		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1994	1994	NATCUR	National currency	0	Units			27828.985426		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1995	1995	NATCUR	National currency	0	Units			29360.674039		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1996	1996	NATCUR	National currency	0	Units			30521.981037		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1997	1997	NATCUR	National currency	0	Units			31962.329697		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1998	1998	NATCUR	National currency	0	Units			33369.375954		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1999	1999	NATCUR	National currency	0	Units			35174.965315		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2000	2000	NATCUR	National currency	0	Units			37121.888926		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2001	2001	NATCUR	National currency	0	Units			39200.558245		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2002	2002	NATCUR	National currency	0	Units			41164.491772		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2003	2003	NATCUR	National currency	0	Units			43781.153813		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2004	2004	NATCUR	National currency	0	Units			46385.537333		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2005	2005	NATCUR	National currency	0	Units			49484.358273		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2006	2006	NATCUR	National currency	0	Units			53184.832038		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2007	2007	NATCUR	National currency	0	Units			56587.268816		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2008	2008	NATCUR	National currency	0	Units			59318.374339		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2009	2009	NATCUR	National currency	0	Units			60062.51239		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2010	2010	NATCUR	National currency	0	Units			64356.88414		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2011	2011	NATCUR	National currency	0	Units			67135.362578		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2012	2012	NATCUR	National currency	0	Units			67585.457585		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2013	2013	NATCUR	National currency	0	Units			69117.350755		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2014	2014	NATCUR	National currency	0	Units			69144.136277		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2015	2015	NATCUR	National currency	0	Units			69606.315082		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2016	2016	NATCUR	National currency	0	Units			72726.273103		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2017	2017	NATCUR	National currency	0	Units			74910.718278		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2018	2018	NATCUR	National currency	0	Units			77903.028896		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2019	2019	NATCUR	National currency	0	Units			78092.305751		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2020	2020	NATCUR	National currency	0	Units			80449.377853		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	2021	2021	NATCUR	National currency	0	Units			88687.043721		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1970	1970	NATCUR	National currency	0	Units			3.822759		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1971	1971	NATCUR	National currency	0	Units			4.160841		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1972	1972	NATCUR	National currency	0	Units			4.634719		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1973	1973	NATCUR	National currency	0	Units			5.505107		
AUS	Australia	T_GDPHRS	GDP per hour worked	C	National currency, current prices	1974	1974	NATCUR	National currency	0	Units			6.310635		
