downloaded from https://www.stat.go.jp/data/roudou/longtime/zuhyou/lt01-a10.xlsx 2011年3月から8月までの期間は，東日本大震災の影響により全国集計結果が存在しないため，補完推計値（2015年国勢調査基準）を用いた（< >内の数値）。
				労働力人口			就業者			雇用者			完全失業者			非労働力人口			完全失業率（％）		
year	month	Mon	star	Labour force			Employed person			Employee			Unemployed person			Not in labour force			Unemployment rate  (percent)		
				男女計	男	女	男女計	男	女	男女計	男	女	男女計	男	女	男女計	男	女	男女計	男	女
				Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female
	4月	Apr.	*	4347 	2561 	1785 	4260 	2507 	1753 	2141 	1472 	669 	86 	54 	32 	1919 	465 	1455 	2.0 	2.1 	1.8 
	5月	May	*	4393 	2581 	1810 	4302 	2526 	1776 	2149 	1477 	672 	89 	55 	33 	1881 	448 	1433 	2.0 	2.2 	1.9 
	6月	June	*	4407 	2591 	1815 	4311 	2532 	1779 	2140 	1472 	667 	96 	59 	36 	1873 	443 	1430 	2.2 	2.3 	2.0 
	7月	July	*	4373 	2590 	1783 	4281 	2531 	1750 	2129 	1464 	665 	92 	60 	32 	1920 	449 	1472 	2.1 	2.3 	1.8 
	8月	Aug.	*	4381 	2593 	1787 	4287 	2533 	1754 	2121 	1460 	661 	94 	61 	33 	1923 	452 	1472 	2.2 	2.4 	1.9 
	9月	Sept.	*	4384 	2601 	1782 	4290 	2542 	1748 	2161 	1488 	673 	94 	60 	34 	1931 	448 	1484 	2.2 	2.3 	1.9 
	10月	Oct.	*	4393 	2592 	1800 	4300 	2533 	1767 	2160 	1489 	672 	94 	60 	34 	1934 	464 	1470 	2.1 	2.3 	1.9 
	11月	Nov.	*	4400 	2600 	1799 	4309 	2544 	1765 	2168 	1493 	674 	92 	57 	35 	1938 	461 	1478 	2.1 	2.2 	2.0 
	12月	Dec.	*	4428 	2611 	1817 	4336 	2560 	1776 	2206 	1515 	691 	92 	50 	42 	1920 	455 	1465 	2.1 	1.9 	2.3 
昭和34年	1月	Jan.	*	4421 	2616 	1804 	4313 	2551 	1761 	2219 	1528 	691 	105 	63 	42 	1932 	455 	1477 	2.4 	2.4 	2.4 
1959	2月	Feb.	*	4396 	2613 	1784 	4286 	2544 	1742 	2202 	1519 	683 	107 	66 	41 	1967 	463 	1503 	2.5 	2.5 	2.3 
	3月	Mar.	*	4420 	2611 	1810 	4307 	2539 	1769 	2203 	1517 	687 	104 	67 	38 	1962 	473 	1490 	2.4 	2.6 	2.1 
	4月	Apr.	*	4437 	2619 	1818 	4340 	2555 	1785 	2236 	1540 	697 	96 	63 	33 	1955 	471 	1485 	2.2 	2.4 	1.8 
	5月	May	*	4457 	2634 	1822 	4359 	2572 	1786 	2234 	1545 	689 	99 	63 	36 	1951 	462 	1490 	2.2 	2.4 	2.0 
	6月	June	*	4452 	2634 	1818 	4350 	2568 	1782 	2255 	1558 	697 	103 	66 	36 	1966 	465 	1500 	2.3 	2.5 	2.0 
	7月	July	*	4440 	2637 	1803 	4340 	2575 	1766 	2258 	1568 	690 	100 	63 	37 	1988 	469 	1519 	2.3 	2.4 	2.1 
	8月	Aug.	*	4441 	2633 	1808 	4341 	2570 	1771 	2287 	1578 	709 	101 	63 	38 	1992 	476 	1516 	2.3 	2.4 	2.1 
	9月	Sept.	*	4425 	2623 	1802 	4339 	2573 	1766 	2262 	1570 	692 	86 	50 	36 	2017 	490 	1527 	2.0 	1.9 	2.0 
	10月	Oct.	*	4460 	2631 	1829 	4376 	2580 	1795 	2292 	1592 	701 	86 	52 	34 	1995 	489 	1506 	1.9 	2.0 	1.9 
	11月	Nov.	*	4451 	2637 	1815 	4363 	2583 	1780 	2282 	1590 	692 	90 	55 	35 	2007 	483 	1524 	2.0 	2.1 	1.9 
	12月	Dec.	*	4399 	2617 	1782 	4311 	2561 	1749 	2261 	1581 	680 	88 	56 	32 	2058 	502 	1556 	2.0 	2.1 	1.8 
昭和35年	1月	Jan.	*	4433 	2648 	1783 	4351 	2598 	1751 	2268 	1588 	679 	82 	49 	33 	2033 	478 	1554 	1.9 	1.9 	1.8 
1960	2月	Feb.	*	4497 	2661 	1832 	4420 	2617 	1803 	2321 	1614 	707 	74 	44 	30 	1989 	470 	1517 	1.7 	1.7 	1.6 
	3月	Mar.	*	4476 	2665 	1811 	4401 	2621 	1779 	2334 	1623 	711 	76 	45 	31 	2011 	471 	1541 	1.7 	1.7 	1.7 
	4月	Apr.	*	4496 	2675 	1821 	4420 	2634 	1787 	2328 	1620 	708 	74 	41 	33 	2001 	463 	1538 	1.7 	1.6 	1.9 
	5月	May	*	4501 	2671 	1830 	4425 	2626 	1799 	2359 	1621 	738 	76 	45 	31 	2002 	469 	1532 	1.7 	1.7 	1.7 
	6月	June	*	4500 	2669 	1832 	4428 	2627 	1801 	2390 	1635 	754 	72 	42 	30 	2007 	473 	1532 	1.6 	1.6 	1.7 
	7月	July	*	4527 	2673 	1853 	4457 	2633 	1823 	2413 	1648 	765 	70 	40 	30 	1983 	473 	1511 	1.5 	1.5 	1.6 
	8月	Aug.	*	4525 	2669 	1856 	4455 	2632 	1822 	2400 	1649 	751 	71 	37 	34 	1988 	478 	1510 	1.6 	1.4 	1.8 
	9月	Sept.	*	4562 	2676 	1885 	4490 	2635 	1854 	2414 	1645 	769 	72 	40 	31 	1954 	474 	1480 	1.6 	1.5 	1.7 
	10月	Oct.	*	4533 	2686 	1847 	4467 	2647 	1820 	2379 	1634 	745 	65 	38 	27 	1987 	465 	1523 	1.4 	1.4 	1.5 
	11月	Nov.	*	4523 	2685 	1838 	4456 	2647 	1809 	2404 	1649 	755 	67 	38 	29 	2009 	473 	1537 	1.5 	1.4 	1.6 
	12月	Dec.	*	4551 	2691 	1860 	4483 	2650 	1833 	2424 	1656 	768 	67 	40 	27 	1998 	474 	1524 	1.5 	1.5 	1.5 
昭和36年	1月	Jan.	*	4579 	2694 	1886 	4513 	2656 	1860 	2444 	1668 	777 	66 	39 	28 	1982 	471 	1509 	1.5 	1.4 	1.5 
1961	2月	Feb.	*	4555 	2692 	1865 	4487 	2654 	1833 	2446 	1668 	778 	69 	38 	31 	2003 	473 	1527 	1.5 	1.4 	1.7 
	3月	Mar.	*	4553 	2703 	1850 	4499 	2673 	1825 	2456 	1679 	777 	60 	33 	27 	2005 	466 	1540 	1.3 	1.2 	1.5 
	4月	Apr.	*	4558 	2705 	1852 	4492 	2665 	1827 	2433 	1663 	770 	65 	40 	26 	2007 	466 	1541 	1.4 	1.5 	1.4 
	5月	May	*	4538 	2695 	1844 	4471 	2656 	1816 	2434 	1675 	759 	67 	39 	28 	2029 	478 	1551 	1.5 	1.4 	1.5 
	6月	June	*	4514 	2689 	1825 	4448 	2651 	1797 	2424 	1671 	753 	66 	38 	28 	2071 	488 	1578 	1.5 	1.4 	1.5 
	7月	July	*	4559 	2708 	1851 	4492 	2672 	1820 	2465 	1695 	769 	67 	36 	31 	2035 	482 	1555 	1.5 	1.3 	1.7 
	8月	Aug.	*	4542 	2714 	1828 	4479 	2676 	1802 	2477 	1712 	765 	64 	38 	26 	2065 	478 	1586 	1.4 	1.4 	1.4 
	9月	Sept.	*	4575 	2721 	1854 	4513 	2685 	1828 	2507 	1720 	787 	62 	36 	26 	2044 	479 	1566 	1.4 	1.3 	1.4 
	10月	Oct.	*	4573 	2718 	1856 	4507 	2681 	1826 	2538 	1724 	814 	66 	36 	30 	2057 	490 	1569 	1.4 	1.3 	1.6 
	11月	Nov.	*	4606 	2726 	1879 	4539 	2693 	1846 	2542 	1725 	818 	67 	33 	34 	2040 	489 	1553 	1.5 	1.2 	1.8 
	12月	Dec.	*	4605 	2734 	1872 	4544 	2703 	1841 	2546 	1727 	820 	62 	30 	32 	2057 	488 	1570 	1.4 	1.1 	1.7 
昭和37年	1月	Jan.	*	4614 	2742 	1872 	4556 	2713 	1843 	2564 	1746 	818 	60 	31 	30 	2070 	485 	1582 	1.3 	1.1 	1.6 
1962	2月	Feb.	*	4606 	2746 	1861 	4551 	2716 	1836 	2573 	1758 	815 	58 	32 	26 	2087 	488 	1597 	1.3 	1.2 	1.4 
	3月	Mar.	*	4581 	2738 	1844 	4524 	2706 	1818 	2569 	1755 	814 	60 	33 	26 	2120 	505 	1616 	1.3 	1.2 	1.5 
	4月	Apr.	*	4600 	2744 	1857 	4538 	2712 	1826 	2586 	1760 	826 	62 	32 	30 	2110 	501 	1609 	1.4 	1.2 	1.6 
	5月	May	*	4605 	2749 	1856 	4550 	2720 	1831 	2584 	1757 	827 	54 	28 	25 	2122 	502 	1618 	1.2 	1.0 	1.4 
	6月	June	*	4621 	2754 	1867 	4561 	2720 	1841 	2577 	1756 	821 	60 	34 	26 	2120 	502 	1614 	1.3 	1.3 	1.4 
	7月	July	*	4602 	2746 	1856 	4541 	2711 	1830 	2574 	1752 	822 	61 	35 	26 	2156 	524 	1634 	1.3 	1.3 	1.4 
	8月	Aug.	*	4638 	2760 	1878 	4583 	2731 	1852 	2606 	1771 	835 	55 	29 	26 	2134 	518 	1618 	1.2 	1.0 	1.4 
	9月	Sept.	*	4627 	2763 	1863 	4569 	2731 	1837 	2587 	1764 	823 	57 	31 	26 	2161 	520 	1641 	1.2 	1.1 	1.4 
	10月	Oct.	*	4618 	2756 	1863 	4556 	2721 	1835 	2607 	1772 	835 	62 	35 	27 	2185 	535 	1651 	1.4 	1.3 	1.5 
	11月	Nov.	*	4620 	2763 	1858 	4562 	2727 	1835 	2635 	1787 	848 	58 	36 	22 	2198 	537 	1663 	1.3 	1.3 	1.2 
	12月	Dec.	*	4645 	2774 	1871 	4584 	2739 	1846 	2627 	1788 	839 	60 	35 	25 	2188 	533 	1657 	1.3 	1.3 	1.4 
昭和38年	1月	Jan.	*	4533 	2731 	1801 	4471 	2694 	1775 	2603 	1772 	832 	61 	36 	25 	2297 	571 	1722 	1.4 	1.3 	1.4 
1963	2月	Feb.	*	4622 	2765 	1857 	4559 	2728 	1831 	2617 	1778 	840 	63 	36 	27 	2240 	552 	1685 	1.4 	1.3 	1.4 
	3月	Mar.	*	4663 	2780 	1882 	4594 	2743 	1851 	2635 	1792 	843 	66 	36 	29 	2221 	552 	1670 	1.4 	1.3 	1.6 
	4月	Apr.	*	4645 	2781 	1864 	4588 	2749 	1839 	2648 	1803 	845 	57 	32 	25 	2256 	560 	1697 	1.2 	1.2 	1.4 
	5月	May	*	4647 	2786 	1862 	4586 	2751 	1836 	2657 	1810 	847 	62 	35 	26 	2271 	561 	1709 	1.3 	1.3 	1.4 
	6月	June	*	4646 	2792 	1853 	4593 	2764 	1830 	2677 	1825 	852 	51 	28 	23 	2286 	556 	1725 	1.1 	1.0 	1.3 
	7月	July	*	4657 	2798 	1859 	4603 	2767 	1836 	2686 	1834 	852 	53 	30 	22 	2288 	565 	1726 	1.1 	1.1 	1.2 
	8月	Aug.	*	4672 	2800 	1872 	4615 	2766 	1850 	2686 	1829 	858 	56 	34 	22 	2284 	569 	1717 	1.2 	1.2 	1.2 
	9月	Sept.	*	4682 	2808 	1874 	4622 	2773 	1849 	2704 	1837 	867 	60 	35 	26 	2291 	568 	1724 	1.3 	1.2 	1.4 
	10月	Oct.	*	4685 	2813 	1872 	4630 	2783 	1847 	2712 	1848 	864 	54 	30 	24 	2301 	570 	1733 	1.2 	1.1 	1.3 
	11月	Nov.	*	4687 	2813 	1875 	4630 	2780 	1850 	2702 	1842 	861 	57 	33 	25 	2315 	581 	1738 	1.2 	1.2 	1.3 
	12月	Dec.	*	4693 	2817 	1876 	4635 	2782 	1853 	2721 	1854 	867 	59 	35 	24 	2321 	581 	1742 	1.3 	1.3 	1.3 
昭和39年	1月	Jan.	*	4726 	2832 	1894 	4671 	2800 	1871 	2721 	1854 	866 	56 	33 	24 	2305 	568 	1734 	1.2 	1.2 	1.3 
1964	2月	Feb.	*	4673 	2801 	1872 	4615 	2769 	1845 	2715 	1846 	869 	59 	33 	26 	2367 	602 	1762 	1.3 	1.2 	1.4 
	3月	Mar.	*	4696 	2812 	1884 	4643 	2779 	1864 	2731 	1861 	870 	55 	33 	22 	2370 	609 	1762 	1.2 	1.2 	1.2 
	4月	Apr.	*	4710 	2821 	1889 	4655 	2790 	1865 	2743 	1875 	869 	55 	31 	23 	2374 	608 	1767 	1.2 	1.1 	1.3 
	5月	May	*	4715 	2822 	1892 	4661 	2793 	1868 	2751 	1874 	877 	53 	29 	24 	2386 	614 	1771 	1.1 	1.0 	1.3 
	6月	June	*	4696 	2824 	1872 	4642 	2794 	1848 	2776 	1898 	878 	54 	30 	23 	2419 	616 	1800 	1.2 	1.1 	1.3 
	7月	July	*	4704 	2831 	1875 	4649 	2800 	1850 	2788 	1904 	884 	56 	31 	25 	2424 	622 	1804 	1.2 	1.1 	1.4 
	8月	Aug.	*	4706 	2829 	1877 	4649 	2797 	1852 	2790 	1894 	897 	57 	32 	25 	2437 	630 	1809 	1.2 	1.1 	1.3 
	9月	Sept.	*	4709 	2840 	1870 	4657 	2809 	1848 	2797 	1907 	890 	52 	30 	22 	2446 	624 	1823 	1.1 	1.1 	1.2 
	10月	Oct.	*	4741 	2859 	1883 	4687 	2828 	1859 	2783 	1906 	877 	53 	30 	23 	2432 	615 	1819 	1.1 	1.1 	1.2 
	11月	Nov.	*	4731 	2854 	1878 	4678 	2824 	1854 	2776 	1905 	871 	53 	29 	24 	2455 	628 	1830 	1.1 	1.0 	1.3 
	12月	Dec.	*	4723 	2855 	1867 	4669 	2826 	1842 	2776 	1913 	863 	54 	29 	25 	2472 	632 	1842 	1.1 	1.0 	1.4 
昭和40年	1月	Jan.	*	4764 	2864 	1900 	4713 	2838 	1875 	2807 	1929 	876 	53 	28 	25 	2444 	623 	1817 	1.1 	1.0 	1.3 
1965	2月	Feb.	*	4766 	2865 	1900 	4712 	2835 	1876 	2824 	1939 	883 	55 	30 	25 	2458 	629 	1824 	1.2 	1.1 	1.4 
	3月	Mar.	*	4750 	2865 	1884 	4706 	2839 	1867 	2840 	1940 	899 	49 	29 	21 	2489 	640 	1849 	1.1 	1.0 	1.1 
	4月	Apr.	*	4761 	2869 	1893 	4703 	2836 	1867 	2861 	1950 	911 	59 	32 	26 	2491 	643 	1847 	1.2 	1.1 	1.4 
	5月	May	*	4752 	2871 	1882 	4694 	2838 	1856 	2868 	1959 	910 	57 	32 	25 	2518 	649 	1869 	1.2 	1.1 	1.3 
	6月	June	*	4779 	2882 	1898 	4716 	2847 	1870 	2879 	1963 	916 	63 	35 	28 	2502 	643 	1858 	1.3 	1.2 	1.5 
	7月	July	*	4778 	2878 	1901 	4717 	2842 	1875 	2872 	1954 	919 	62 	36 	25 	2517 	657 	1861 	1.3 	1.3 	1.4 
	8月	Aug.	*	4805 	2896 	1909 	4745 	2862 	1883 	2884 	1968 	916 	59 	33 	26 	2500 	643 	1858 	1.2 	1.2 	1.4 
	9月	Sept.	*	4828 	2902 	1926 	4766 	2867 	1899 	2912 	1982 	930 	62 	35 	26 	2489 	643 	1847 	1.3 	1.2 	1.4 
	10月	Oct.	*	4823 	2897 	1926 	4762 	2861 	1901 	2910 	1982 	928 	62 	37 	25 	2506 	655 	1852 	1.3 	1.3 	1.3 
	11月	Nov.	*	4820 	2906 	1913 	4759 	2871 	1888 	2916 	1989 	927 	61 	35 	26 	2518 	649 	1870 	1.3 	1.2 	1.4 
	12月	Dec.	*	4833 	2912 	1920 	4769 	2877 	1892 	2945 	2001 	944 	64 	36 	28 	2516 	650 	1868 	1.3 	1.2 	1.6 
昭和41年	1月	Jan.	*	4866 	2922 	1944 	4796 	2883 	1914 	2962 	2004 	959 	67 	38 	30 	2499 	644 	1853 	1.4 	1.3 	1.6 
1966	2月	Feb.	*	4888 	2937 	1950 	4825 	2904 	1921 	2977 	2015 	962 	62 	34 	29 	2492 	635 	1854 	1.3 	1.1 	1.6 
	3月	Mar.	*	4870 	2933 	1937 	4801 	2898 	1903 	2976 	2008 	967 	66 	36 	30 	2516 	645 	1870 	1.4 	1.2 	1.5 
	4月	Apr.	*	4875 	2935 	1942 	4815 	2899 	1915 	2964 	2005 	960 	61 	35 	26 	2528 	652 	1875 	1.3 	1.2 	1.3 
