downloaded from https://www.stat.go.jp/data/roudou/longtime/zuhyou/lt01-a10.xlsx 2011年3月から8月までの期間は，東日本大震災の影響により全国集計結果が存在しないため，補完推計値（2015年国勢調査基準）を用いた（< >内の数値）。
				労働力人口			就業者			雇用者			完全失業者			非労働力人口			完全失業率（％）		
year	month	Mon	star	Labour force			Employed person			Employee			Unemployed person			Not in labour force			Unemployment rate  (percent)		
				男女計	男	女	男女計	男	女	男女計	男	女	男女計	男	女	男女計	男	女	男女計	男	女
				Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female
	6月	June		5651 	3461 	2190 	5543 	3394 	2149 	3994 	2629 	1365 	108 	66 	41 	3244 	861 	2383 	1.9 	1.9 	1.9 
	7月	July		5674 	3470 	2203 	5556 	3398 	2159 	3999 	2627 	1370 	116 	72 	44 	3228 	854 	2373 	2.0 	2.1 	2.0 
	8月	Aug.		5674 	3464 	2209 	5556 	3393 	2163 	3992 	2621 	1372 	118 	72 	46 	3236 	864 	2372 	2.1 	2.1 	2.1 
	9月	Sept.		5687 	3476 	2210 	5572 	3407 	2165 	4015 	2636 	1379 	114 	69 	45 	3236 	859 	2377 	2.0 	2.0 	2.0 
	10月	Oct.		5674 	3489 	2185 	5556 	3415 	2140 	4014 	2642 	1373 	118 	74 	45 	3260 	853 	2407 	2.1 	2.1 	2.0 
	11月	Nov.		5675 	3486 	2189 	5548 	3406 	2142 	4009 	2634 	1375 	127 	81 	46 	3267 	858 	2410 	2.2 	2.3 	2.1 
	12月	Dec.		5675 	3487 	2188 	5550 	3408 	2141 	4013 	2641 	1372 	125 	78 	47 	3272 	859 	2413 	2.2 	2.3 	2.1 
昭和56年	1月	Jan.		5690 	3500 	2190 	5570 	3425 	2145 	4032 	2654 	1378 	119 	75 	45 	3267 	853 	2414 	2.1 	2.2 	2.0 
1981	2月	Feb.		5691 	3505 	2185 	5563 	3427 	2136 	4022 	2650 	1373 	128 	79 	49 	3269 	849 	2420 	2.3 	2.3 	2.3 
	3月	Mar.		5698 	3511 	2186 	5573 	3432 	2139 	4017 	2649 	1368 	126 	79 	47 	3272 	847 	2425 	2.2 	2.3 	2.1 
	4月	Apr.		5714 	3500 	2213 	5586 	3418 	2168 	4045 	2646 	1401 	128 	83 	45 	3259 	859 	2400 	2.2 	2.4 	2.1 
	5月	May		5691 	3489 	2202 	5559 	3407 	2152 	4033 	2632 	1401 	132 	83 	49 	3288 	873 	2415 	2.3 	2.4 	2.2 
	6月	June		5697 	3499 	2198 	5568 	3421 	2147 	4035 	2649 	1386 	129 	78 	51 	3284 	863 	2421 	2.3 	2.2 	2.3 
	7月	July		5707 	3499 	2209 	5581 	3419 	2162 	4014 	2639 	1376 	126 	80 	46 	3282 	869 	2413 	2.2 	2.3 	2.1 
	8月	Aug.		5710 	3500 	2211 	5591 	3425 	2167 	4018 	2634 	1384 	119 	75 	44 	3284 	870 	2414 	2.1 	2.1 	2.0 
	9月	Sept.		5714 	3503 	2211 	5589 	3423 	2166 	4051 	2654 	1397 	125 	80 	45 	3287 	870 	2418 	2.2 	2.3 	2.0 
	10月	Oct.		5715 	3498 	2218 	5588 	3417 	2171 	4063 	2661 	1402 	127 	81 	47 	3291 	877 	2414 	2.2 	2.3 	2.1 
	11月	Nov.		5730 	3489 	2240 	5604 	3413 	2190 	4062 	2648 	1413 	125 	76 	49 	3281 	888 	2392 	2.2 	2.2 	2.2 
	12月	Dec.		5737 	3488 	2250 	5609 	3408 	2201 	4056 	2644 	1413 	127 	79 	48 	3278 	892 	2385 	2.2 	2.3 	2.1 
昭和57年	1月	Jan.		5730 	3490 	2240 	5603 	3409 	2194 	4066 	2655 	1411 	127 	81 	46 	3295 	894 	2401 	2.2 	2.3 	2.1 
1982	2月	Feb.		5744 	3503 	2241 	5617 	3423 	2194 	4062 	2656 	1406 	128 	81 	47 	3295 	888 	2408 	2.2 	2.3 	2.1 
	3月	Mar.		5764 	3517 	2247 	5633 	3437 	2197 	4077 	2672 	1404 	131 	81 	50 	3285 	879 	2406 	2.3 	2.3 	2.2 
	4月	Apr.		5758 	3526 	2231 	5625 	3445 	2179 	4108 	2696 	1412 	133 	81 	52 	3300 	871 	2428 	2.3 	2.3 	2.3 
	5月	May		5775 	3526 	2249 	5642 	3444 	2198 	4109 	2690 	1420 	134 	82 	51 	3295 	878 	2416 	2.3 	2.3 	2.3 
	6月	June		5759 	3512 	2247 	5620 	3423 	2197 	4086 	2674 	1411 	140 	89 	51 	3324 	899 	2425 	2.4 	2.5 	2.3 
	7月	July		5752 	3515 	2238 	5615 	3428 	2186 	4087 	2681 	1407 	138 	86 	52 	3338 	899 	2440 	2.4 	2.4 	2.3 
	8月	Aug.		5766 	3525 	2241 	5631 	3442 	2190 	4094 	2686 	1408 	135 	84 	51 	3338 	894 	2443 	2.3 	2.4 	2.3 
	9月	Sept.		5773 	3526 	2248 	5635 	3442 	2193 	4092 	2678 	1415 	139 	84 	56 	3335 	896 	2439 	2.4 	2.4 	2.5 
	10月	Oct.		5801 	3532 	2270 	5658 	3444 	2214 	4111 	2679 	1433 	144 	88 	56 	3318 	894 	2424 	2.5 	2.5 	2.5 
	11月	Nov.		5813 	3538 	2275 	5672 	3453 	2219 	4126 	2695 	1430 	141 	86 	55 	3311 	892 	2418 	2.4 	2.4 	2.4 
	12月	Dec.		5858 	3551 	2306 	5712 	3463 	2249 	4153 	2698 	1455 	146 	89 	57 	3277 	885 	2392 	2.5 	2.5 	2.5 
昭和58年	1月	Jan.		5879 	3562 	2317 	5720 	3467 	2254 	4164 	2702 	1461 	158 	95 	63 	3271 	881 	2390 	2.7 	2.7 	2.7 
1983	2月	Feb.		5879 	3558 	2321 	5722 	3463 	2260 	4174 	2705 	1470 	156 	95 	61 	3283 	891 	2392 	2.7 	2.7 	2.6 
	3月	Mar.		5871 	3549 	2322 	5716 	3454 	2263 	4197 	2701 	1495 	153 	95 	58 	3288 	898 	2390 	2.6 	2.7 	2.5 
	4月	Apr.		5872 	3553 	2318 	5712 	3456 	2256 	4187 	2704 	1483 	159 	97 	61 	3296 	899 	2398 	2.7 	2.7 	2.6 
	5月	May		5892 	3567 	2325 	5735 	3470 	2265 	4196 	2723 	1473 	158 	97 	61 	3282 	888 	2395 	2.7 	2.7 	2.6 
	6月	June		5892 	3575 	2316 	5742 	3484 	2257 	4198 	2726 	1472 	150 	92 	59 	3298 	887 	2411 	2.6 	2.6 	2.5 
	7月	July		5887 	3568 	2318 	5736 	3479 	2257 	4227 	2737 	1490 	151 	89 	61 	3311 	899 	2412 	2.6 	2.5 	2.6 
	8月	Aug.		5899 	3567 	2332 	5736 	3468 	2268 	4259 	2748 	1511 	164 	100 	64 	3310 	907 	2403 	2.8 	2.8 	2.8 
	9月	Sept.		5897 	3563 	2334 	5738 	3466 	2270 	4224 	2729 	1494 	161 	97 	64 	3318 	913 	2405 	2.7 	2.7 	2.7 
	10月	Oct.		5904 	3567 	2337 	5751 	3474 	2277 	4210 	2717 	1493 	153 	92 	61 	3318 	913 	2405 	2.6 	2.6 	2.6 
	11月	Nov.		5904 	3570 	2334 	5748 	3475 	2273 	4227 	2732 	1495 	155 	95 	60 	3329 	914 	2415 	2.6 	2.7 	2.6 
	12月	Dec.		5891 	3568 	2322 	5736 	3476 	2260 	4238 	2745 	1492 	155 	93 	63 	3354 	922 	2431 	2.6 	2.6 	2.7 
昭和59年	1月	Jan.		5872 	3564 	2308 	5711 	3468 	2243 	4224 	2736 	1488 	161 	96 	65 	3374 	927 	2448 	2.7 	2.7 	2.8 
1984	2月	Feb.		5887 	3574 	2313 	5724 	3477 	2246 	4241 	2750 	1490 	161 	96 	66 	3365 	921 	2444 	2.7 	2.7 	2.8 
	3月	Mar.		5902 	3569 	2333 	5742 	3475 	2267 	4251 	2749 	1503 	159 	94 	65 	3362 	931 	2431 	2.7 	2.6 	2.8 
	4月	Apr.		5911 	3572 	2338 	5753 	3476 	2277 	4239 	2736 	1503 	157 	96 	61 	3367 	936 	2432 	2.7 	2.7 	2.6 
	5月	May		5910 	3576 	2334 	5751 	3481 	2270 	4256 	2741 	1515 	159 	96 	63 	3377 	935 	2442 	2.7 	2.7 	2.7 
	6月	June		5936 	3582 	2354 	5771 	3485 	2286 	4274 	2744 	1529 	165 	98 	68 	3360 	936 	2424 	2.8 	2.7 	2.9 
	7月	July		5929 	3574 	2355 	5765 	3477 	2288 	4266 	2736 	1530 	165 	97 	68 	3375 	947 	2428 	2.8 	2.7 	2.9 
	8月	Aug.		5935 	3583 	2352 	5774 	3487 	2286 	4272 	2746 	1525 	162 	97 	65 	3379 	941 	2438 	2.7 	2.7 	2.8 
	9月	Sept.		5967 	3596 	2371 	5805 	3496 	2309 	4282 	2748 	1533 	162 	100 	61 	3360 	935 	2425 	2.7 	2.8 	2.6 
	10月	Oct.		5963 	3587 	2375 	5799 	3491 	2308 	4282 	2753 	1529 	164 	96 	68 	3368 	946 	2421 	2.7 	2.7 	2.9 
	11月	Nov.		5959 	3594 	2366 	5800 	3501 	2299 	4291 	2764 	1528 	160 	93 	67 	3383 	945 	2438 	2.7 	2.6 	2.8 
	12月	Dec.		5953 	3591 	2362 	5797 	3498 	2300 	4299 	2761 	1537 	154 	93 	61 	3400 	952 	2448 	2.6 	2.6 	2.6 
昭和60年	1月	Jan.		5959 	3594 	2366 	5812 	3506 	2306 	4302 	2765 	1538 	148 	88 	60 	3403 	956 	2447 	2.5 	2.5 	2.5 
1985	2月	Feb.		5963 	3592 	2372 	5808 	3498 	2311 	4306 	2766 	1540 	156 	94 	62 	3407 	962 	2446 	2.6 	2.6 	2.6 
	3月	Mar.		5952 	3592 	2361 	5796 	3496 	2300 	4306 	2772 	1535 	156 	95 	61 	3425 	964 	2461 	2.6 	2.7 	2.6 
	4月	Apr.		5954 	3592 	2362 	5807 	3504 	2303 	4307 	2766 	1541 	147 	89 	59 	3432 	971 	2462 	2.5 	2.5 	2.5 
	5月	May		5962 	3595 	2367 	5810 	3506 	2304 	4302 	2764 	1538 	152 	89 	63 	3444 	977 	2466 	2.6 	2.5 	2.7 
	6月	June		5950 	3590 	2359 	5794 	3499 	2295 	4291 	2756 	1536 	156 	91 	64 	3461 	983 	2478 	2.6 	2.5 	2.7 
	7月	July		5962 	3595 	2367 	5810 	3507 	2302 	4314 	2767 	1547 	152 	89 	64 	3455 	980 	2474 	2.6 	2.5 	2.7 
	8月	Aug.		5959 	3586 	2372 	5808 	3498 	2310 	4286 	2747 	1539 	151 	88 	63 	3460 	991 	2469 	2.5 	2.5 	2.7 
	9月	Sept.		5981 	3601 	2380 	5821 	3507 	2314 	4320 	2760 	1560 	160 	94 	65 	3455 	985 	2470 	2.7 	2.6 	2.7 
	10月	Oct.		5981 	3605 	2377 	5818 	3507 	2310 	4338 	2769 	1568 	164 	98 	66 	3466 	987 	2479 	2.7 	2.7 	2.8 
	11月	Nov.		5980 	3604 	2375 	5812 	3505 	2308 	4345 	2766 	1580 	168 	101 	67 	3482 	993 	2489 	2.8 	2.8 	2.8 
	12月	Dec.		5958 	3605 	2353 	5791 	3505 	2286 	4330 	2770 	1560 	167 	100 	67 	3513 	997 	2515 	2.8 	2.8 	2.8 
昭和61年	1月	Jan.		6003 	3615 	2388 	5841 	3519 	2322 	4362 	2784 	1578 	162 	96 	65 	3475 	991 	2485 	2.7 	2.7 	2.7 
1986	2月	Feb.		6006 	3609 	2397 	5850 	3517 	2333 	4375 	2787 	1589 	156 	92 	63 	3487 	1003 	2485 	2.6 	2.6 	2.6 
	3月	Mar.		6005 	3614 	2391 	5841 	3517 	2324 	4370 	2788 	1583 	164 	97 	66 	3499 	1005 	2494 	2.7 	2.7 	2.8 
	4月	Apr.		6014 	3623 	2391 	5842 	3522 	2321 	4383 	2802 	1581 	171 	100 	71 	3495 	998 	2497 	2.8 	2.8 	3.0 
	5月	May		5992 	3618 	2374 	5832 	3523 	2310 	4357 	2789 	1568 	160 	96 	65 	3511 	1001 	2511 	2.7 	2.6 	2.7 
	6月	June		6004 	3613 	2392 	5840 	3514 	2325 	4368 	2785 	1583 	165 	99 	66 	3512 	1013 	2500 	2.8 	2.7 	2.8 
	7月	July		6038 	3631 	2407 	5863 	3525 	2338 	4387 	2793 	1595 	176 	107 	69 	3500 	1003 	2497 	2.9 	2.9 	2.9 
	8月	Aug.		6039 	3638 	2401 	5867 	3539 	2329 	4389 	2801 	1589 	172 	100 	72 	3514 	1004 	2510 	2.8 	2.7 	3.0 
	9月	Sept.		6032 	3638 	2395 	5864 	3538 	2325 	4398 	2812 	1586 	169 	99 	70 	3532 	1011 	2521 	2.8 	2.7 	2.9 
	10月	Oct.		6037 	3638 	2399 	5872 	3538 	2335 	4400 	2810 	1590 	166 	102 	64 	3537 	1014 	2523 	2.7 	2.8 	2.7 
	11月	Nov.		6033 	3631 	2402 	5866 	3530 	2335 	4378 	2791 	1586 	167 	101 	67 	3544 	1023 	2521 	2.8 	2.8 	2.8 
	12月	Dec.		6039 	3634 	2405 	5865 	3531 	2334 	4377 	2791 	1587 	175 	104 	71 	3547 	1025 	2523 	2.9 	2.9 	3.0 
昭和62年	1月	Jan.		6043 	3638 	2405 	5864 	3531 	2333 	4381 	2796 	1585 	179 	106 	73 	3560 	1027 	2533 	3.0 	2.9 	3.0 
1987	2月	Feb.		6043 	3636 	2406 	5864 	3531 	2333 	4381 	2791 	1590 	178 	105 	73 	3571 	1034 	2537 	2.9 	2.9 	3.0 
	3月	Mar.		6061 	3647 	2414 	5885 	3543 	2342 	4398 	2801 	1597 	174 	104 	70 	3574 	1035 	2539 	2.9 	2.9 	2.9 
	4月	Apr.		6068 	3645 	2422 	5888 	3539 	2349 	4407 	2800 	1606 	178 	106 	72 	3579 	1043 	2536 	2.9 	2.9 	3.0 
	5月	May		6073 	3643 	2428 	5885 	3531 	2354 	4412 	2798 	1615 	188 	113 	74 	3577 	1044 	2531 	3.1 	3.1 	3.1 
	6月	June		6083 	3657 	2426 	5903 	3548 	2355 	4426 	2809 	1617 	182 	110 	71 	3579 	1039 	2540 	3.0 	3.0 	2.9 
	7月	July		6070 	3655 	2415 	5904 	3554 	2350 	4417 	2812 	1605 	167 	101 	65 	3607 	1048 	2559 	2.8 	2.8 	2.7 
	8月	Aug.		6101 	3668 	2432 	5932 	3562 	2370 	4439 	2820 	1618 	168 	106 	62 	3588 	1039 	2548 	2.8 	2.9 	2.5 
	9月	Sept.		6098 	3663 	2435 	5930 	3562 	2369 	4443 	2820 	1623 	167 	103 	65 	3590 	1043 	2547 	2.7 	2.8 	2.7 
	10月	Oct.		6103 	3666 	2437 	5937 	3566 	2370 	4460 	2832 	1629 	166 	99 	67 	3599 	1047 	2553 	2.7 	2.7 	2.7 
	11月	Nov.		6122 	3667 	2456 	5959 	3568 	2391 	4476 	2839 	1637 	164 	100 	64 	3596 	1055 	2542 	2.7 	2.7 	2.6 
	12月	Dec.		6139 	3668 	2472 	5977 	3570 	2407 	4490 	2836 	1654 	164 	98 	65 	3591 	1060 	2531 	2.7 	2.7 	2.6 
昭和63年	1月	Jan.		6143 	3677 	2466 	5978 	3577 	2401 	4497 	2841 	1656 	165 	100 	65 	3602 	1060 	2542 	2.7 	2.7 	2.6 
1988	2月	Feb.		6131 	3679 	2451 	5964 	3579 	2386 	4485 	2841 	1643 	166 	100 	65 	3621 	1063 	2558 	2.7 	2.7 	2.7 
	3月	Mar.		6136 	3679 	2457 	5972 	3582 	2390 	4485 	2843 	1642 	162 	96 	67 	3621 	1063 	2558 	2.6 	2.6 	2.7 
	4月	Apr.		6155 	3688 	2466 	5998 	3596 	2402 	4499 	2851 	1649 	156 	92 	64 	3623 	1064 	2558 	2.5 	2.5 	2.6 
	5月	May		6165 	3691 	2473 	6012 	3601 	2411 	4524 	2859 	1665 	153 	90 	63 	3629 	1070 	2559 	2.5 	2.4 	2.5 
	6月	June		6158 	3697 	2462 	6009 	3608 	2401 	4534 	2875 	1660 	149 	89 	60 	3638 	1064 	2574 	2.4 	2.4 	2.5 
	7月	July		6175 	3699 	2477 	6018 	3605 	2415 	4554 	2873 	1682 	156 	95 	62 	3626 	1066 	2560 	2.5 	2.6 	2.5 
	8月	Aug.		6182 	3702 	2479 	6024 	3612 	2412 	4574 	2887 	1687 	158 	91 	67 	3628 	1067 	2562 	2.6 	2.5 	2.7 
	9月	Sept.		6172 	3689 	2481 	6020 	3604 	2416 	4559 	2876 	1684 	151 	85 	66 	3653 	1086 	2567 	2.5 	2.3 	2.6 
	10月	Oct.		6178 	3693 	2485 	6028 	3608 	2421 	4554 	2871 	1683 	149 	85 	64 	3659 	1089 	2570 	2.4 	2.3 	2.6 
	11月	Nov.		6192 	3711 	2481 	6043 	3626 	2418 	4580 	2892 	1689 	148 	86 	63 	3662 	1080 	2581 	2.4 	2.3 	2.5 
	12月	Dec.		6206 	3711 	2494 	6059 	3627 	2430 	4607 	2901 	1705 	147 	84 	63 	3651 	1083 	2568 	2.4 	2.3 	2.5 
平成元年	1月	Jan.		6198 	3704 	2494 	6056 	3622 	2434 	4605 	2891 	1714 	143 	82 	60 	3662 	1090 	2571 	2.3 	2.2 	2.4 
1989	2月	Feb.		6220 	3717 	2504 	6075 	3634 	2441 	4636 	2909 	1727 	145 	82 	63 	3654 	1085 	2569 	2.3 	2.2 	2.5 
	3月	Mar.		6227 	3716 	2510 	6080 	3634 	2445 	4645 	2914 	1731 	148 	82 	65 	3658 	1092 	2567 	2.4 	2.2 	2.6 
	4月	Apr.		6244 	3729 	2515 	6098 	3641 	2456 	4658 	2915 	1744 	147 	88 	59 	3648 	1084 	2565 	2.4 	2.4 	2.4 
	5月	May		6259 	3731 	2529 	6113 	3642 	2471 	4672 	2923 	1748 	147 	89 	58 	3646 	1087 	2559 	2.3 	2.4 	2.3 
	6月	June		6279 	3737 	2542 	6139 	3653 	2485 	4682 	2928 	1754 	140 	83 	57 	3643 	1090 	2553 	2.2 	2.2 	2.2 
	7月	July		6297 	3749 	2547 	6156 	3667 	2488 	4692 	2939 	1753 	139 	82 	57 	3639 	1085 	2554 	2.2 	2.2 	2.3 
	8月	Aug.		6290 	3748 	2542 	6149 	3664 	2484 	4701 	2945 	1756 	140 	83 	58 	3653 	1090 	2564 	2.2 	2.2 	2.3 
	9月	Sept.		6283 	3741 	2543 	6146 	3659 	2487 	4689 	2936 	1753 	137 	82 	56 	3674 	1102 	2571 	2.2 	2.2 	2.2 
	10月	Oct.		6299 	3746 	2554 	6160 	3665 	2495 	4698 	2935 	1763 	139 	80 	59 	3664 	1103 	2561 	2.2 	2.1 	2.3 
	11月	Nov.		6312 	3758 	2555 	6172 	3675 	2497 	4721 	2949 	1772 	139 	82 	58 	3657 	1092 	2565 	2.2 	2.2 	2.3 
	12月	Dec.		6325 	3768 	2557 	6190 	3690 	2501 	4739 	2964 	1776 	134 	78 	56 	3661 	1089 	2572 	2.1 	2.1 	2.2 
平成 2年	1月	Jan.		6326 	3762 	2565 	6188 	3683 	2504 	4747 	2961 	1787 	139 	78 	61 	3664 	1101 	2564 	2.2 	2.1 	2.4 
1990	2月	Feb.		6341 	3764 	2578 	6205 	3686 	2520 	4754 	2958 	1797 	137 	80 	58 	3656 	1101 	2555 	2.2 	2.1 	2.3 
	3月	Mar.		6357 	3765 	2592 	6231 	3687 	2544 	4779 	2958 	1822 	128 	79 	49 	3647 	1102 	2545 	2.0 	2.1 	1.9 
	4月	Apr.		6358 	3770 	2588 	6224 	3694 	2531 	4805 	2988 	1817 	134 	76 	57 	3655 	1100 	2555 	2.1 	2.0 	2.2 
	5月	May		6377 	3791 	2587 	6245 	3719 	2527 	4844 	3019 	1825 	133 	73 	60 	3657 	1091 	2566 	2.1 	1.9 	2.3 
	6月	June		6374 	3789 	2585 	6236 	3710 	2526 	4832 	3005 	1827 	138 	78 	59 	3664 	1096 	2568 	2.2 	2.1 	2.3 
	7月	July		6390 	3790 	2599 	6255 	3715 	2540 	4807 	2984 	1822 	133 	74 	59 	3651 	1095 	2555 	2.1 	2.0 	2.3 
	8月	Aug.		6378 	3783 	2595 	6247 	3710 	2538 	4819 	2987 	1831 	130 	72 	57 	3675 	1108 	2566 	2.0 	1.9 	2.2 
	9月	Sept.		6423 	3814 	2608 	6286 	3734 	2552 	4900 	3036 	1863 	137 	80 	56 	3646 	1084 	2561 	2.1 	2.1 	2.1 
	10月	Oct.		6433 	3829 	2604 	6292 	3746 	2547 	4918 	3050 	1868 	140 	83 	57 	3648 	1075 	2573 	2.2 	2.2 	2.2 
	11月	Nov.		6420 	3812 	2607 	6288 	3737 	2551 	4904 	3031 	1873 	131 	75 	56 	3661 	1094 	2568 	2.0 	2.0 	2.1 
	12月	Dec.		6423 	3818 	2606 	6293 	3742 	2552 	4909 	3038 	1871 	130 	76 	54 	3668 	1093 	2575 	2.0 	2.0 	2.1 
平成 3年	1月	Jan.		6457 	3825 	2632 	6327 	3747 	2581 	4942 	3052 	1891 	131 	78 	52 	3645 	1090 	2555 	2.0 	2.1 	2.0 
1991	2月	Feb.		6452 	3820 	2631 	6321 	3742 	2579 	4946 	3048 	1898 	132 	79 	53 	3656 	1097 	2559 	2.1 	2.1 	2.0 
	3月	Mar.		6482 	3853 	2628 	6342 	3771 	2572 	4966 	3069 	1896 	140 	83 	57 	3644 	1074 	2570 	2.2 	2.2 	2.2 
	4月	Apr.		6483 	3846 	2637 	6346 	3767 	2578 	4972 	3066 	1905 	139 	80 	59 	3658 	1090 	2568 	2.1 	2.1 	2.2 
	5月	May		6486 	3846 	2639 	6353 	3771 	2581 	4978 	3071 	1907 	133 	74 	59 	3655 	1091 	2564 	2.1 	1.9 	2.2 
	6月	June		6516 	3861 	2654 	6378 	3786 	2591 	5019 	3095 	1924 	138 	75 	63 	3636 	1081 	2555 	2.1 	1.9 	2.4 
	7月	July		6510 	3853 	2657 	6370 	3775 	2595 	5021 	3095 	1926 	140 	78 	60 	3652 	1093 	2560 	2.1 	2.0 	2.3 
	8月	Aug.		6527 	3861 	2666 	6387 	3781 	2607 	5019 	3089 	1931 	139 	80 	59 	3646 	1091 	2555 	2.1 	2.1 	2.2 
	9月	Sept.		6537 	3874 	2662 	6397 	3799 	2599 	5023 	3098 	1926 	139 	76 	62 	3641 	1082 	2560 	2.1 	2.0 	2.3 
	10月	Oct.		6519 	3863 	2656 	6386 	3793 	2593 	5034 	3108 	1926 	132 	70 	62 	3666 	1096 	2570 	2.0 	1.8 	2.3 
	11月	Nov.		6535 	3868 	2668 	6399 	3793 	2607 	5046 	3111 	1935 	136 	75 	61 	3655 	1092 	2563 	2.1 	1.9 	2.3 
	12月	Dec.		6556 	3873 	2683 	6417 	3793 	2624 	5062 	3110 	1953 	137 	80 	58 	3639 	1087 	2552 	2.1 	2.1 	2.2 
平成 4年	1月	Jan.		6553 	3890 	2662 	6413 	3810 	2604 	5068 	3125 	1942 	140 	81 	59 	3656 	1075 	2582 	2.1 	2.1 	2.2 
1992	2月	Feb.		6593 	3903 	2690 	6460 	3826 	2634 	5098 	3137 	1961 	134 	77 	57 	3636 	1070 	2566 	2.0 	2.0 	2.1 
	3月	Mar.		6567 	3891 	2676 	6430 	3817 	2614 	5092 	3137 	1956 	138 	75 	63 	3666 	1085 	2581 	2.1 	1.9 	2.3 
	4月	Apr.		6550 	3891 	2659 	6414 	3815 	2599 	5080 	3131 	1950 	136 	77 	60 	3679 	1085 	2595 	2.1 	2.0 	2.2 
	5月	May		6560 	3889 	2671 	6421 	3805 	2616 	5098 	3124 	1974 	139 	83 	56 	3679 	1092 	2587 	2.1 	2.1 	2.1 
	6月	June		6560 	3882 	2677 	6421 	3799 	2621 	5097 	3125 	1972 	138 	83 	55 	3695 	1106 	2589 	2.1 	2.1 	2.1 
	7月	July		6552 	3894 	2658 	6411 	3812 	2599 	5129 	3155 	1975 	140 	82 	59 	3712 	1098 	2614 	2.1 	2.1 	2.2 
	8月	Aug.		6580 	3903 	2677 	6437 	3820 	2617 	5141 	3161 	1980 	144 	83 	60 	3692 	1093 	2599 	2.2 	2.1 	2.3 
	9月	Sept.		6581 	3896 	2685 	6436 	3813 	2623 	5123 	3141 	1983 	145 	84 	62 	3697 	1103 	2595 	2.2 	2.1 	2.3 
	10月	Oct.		6606 	3909 	2696 	6459 	3823 	2636 	5155 	3160 	1995 	145 	86 	59 	3682 	1093 	2589 	2.2 	2.2 	2.2 
	11月	Nov.		6624 	3922 	2703 	6473 	3835 	2637 	5183 	3180 	2002 	151 	86 	65 	3674 	1088 	2587 	2.3 	2.2 	2.4 
	12月	Dec.		6616 	3919 	2696 	6460 	3832 	2628 	5164 	3170 	1994 	155 	86 	68 	3687 	1092 	2595 	2.3 	2.2 	2.5 
平成 5年	1月	Jan.		6592 	3915 	2678 	6440 	3831 	2610 	5156 	3171 	1985 	151 	84 	68 	3720 	1101 	2620 	2.3 	2.1 	2.5 
1993	2月	Feb.		6587 	3929 	2658 	6433 	3841 	2591 	5184 	3194 	1990 	155 	87 	68 	3735 	1094 	2642 	2.3 	2.2 	2.6 
	3月	Mar.		6588 	3925 	2663 	6435 	3838 	2596 	5179 	3192 	1988 	154 	87 	67 	3740 	1100 	2640 	2.3 	2.2 	2.5 
	4月	Apr.		6599 	3928 	2670 	6446 	3840 	2606 	5189 	3188 	2002 	153 	88 	65 	3740 	1100 	2639 	2.3 	2.2 	2.4 
	5月	May		6607 	3934 	2673 	6442 	3836 	2605 	5180 	3184 	1996 	166 	98 	68 	3737 	1096 	2640 	2.5 	2.5 	2.5 
	6月	June		6604 	3931 	2674 	6439 	3840 	2601 	5192 	3192 	2000 	165 	92 	73 	3744 	1100 	2643 	2.5 	2.3 	2.7 
	7月	July		6617 	3936 	2680 	6452 	3842 	2609 	5229 	3206 	2023 	166 	94 	71 	3742 	1101 	2641 	2.5 	2.4 	2.7 
	8月	Aug.		6622 	3934 	2688 	6456 	3838 	2619 	5228 	3198 	2031 	166 	97 	69 	3747 	1108 	2639 	2.5 	2.5 	2.6 
	9月	Sept.		6618 	3933 	2685 	6449 	3836 	2613 	5218 	3199 	2020 	169 	98 	72 	3756 	1111 	2645 	2.6 	2.5 	2.7 
	10月	Oct.		6640 	3946 	2693 	6464 	3845 	2619 	5225 	3204 	2022 	176 	102 	75 	3737 	1098 	2639 	2.7 	2.6 	2.8 
	11月	Nov.		6654 	3954 	2701 	6472 	3848 	2624 	5220 	3197 	2023 	182 	106 	76 	3736 	1098 	2638 	2.7 	2.7 	2.8 
	12月	Dec.		6659 	3952 	2707 	6472 	3846 	2626 	5225 	3197 	2028 	187 	106 	82 	3744 	1106 	2638 	2.8 	2.7 	3.0 
平成 6年	1月	Jan.		6648 	3947 	2702 	6465 	3843 	2623 	5215 	3193 	2023 	184 	105 	79 	3756 	1112 	2643 	2.8 	2.6 	2.9 
1994	2月	Feb.		6642 	3950 	2692 	6449 	3841 	2608 	5208 	3192 	2016 	192 	108 	83 	3767 	1112 	2655 	2.9 	2.7 	3.1 
	3月	Mar.		6639 	3943 	2695 	6445 	3831 	2614 	5224 	3189 	2034 	193 	112 	80 	3775 	1119 	2656 	2.9 	2.8 	3.0 
	4月	Apr.		6659 	3948 	2712 	6471 	3836 	2635 	5265 	3210 	2055 	189 	112 	77 	3759 	1118 	2641 	2.8 	2.8 	2.8 
	5月	May		6663 	3957 	2707 	6478 	3851 	2626 	5261 	3216 	2045 	186 	105 	81 	3762 	1113 	2650 	2.8 	2.7 	3.0 
	6月	June		6641 	3949 	2692 	6453 	3836 	2617 	5238 	3196 	2042 	188 	114 	75 	3790 	1122 	2667 	2.8 	2.9 	2.8 
	7月	July		6637 	3948 	2689 	6443 	3833 	2611 	5225 	3194 	2033 	195 	115 	79 	3801 	1127 	2674 	2.9 	2.9 	3.0 
