"LOCATION"	"Country"	"SUBJECT"	"Subject"	"MEASURE"	"Measure"	"TIME"	"Time"	"Unit Code"	"Unit"	"PowerCode Code"	"PowerCode"	"Reference Period Code"	"Reference Period"	"Value"	"Flag Codes"	"Flags"
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"1993"	"1993"	"USD"	"US Dollar"	"0"	"Units"			20118.480448		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"1994"	"1994"	"USD"	"US Dollar"	"0"	"Units"			21349.565303		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"1995"	"1995"	"USD"	"US Dollar"	"0"	"Units"			22353.994579		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"1996"	"1996"	"USD"	"US Dollar"	"0"	"Units"			23220.090865		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"1997"	"1997"	"USD"	"US Dollar"	"0"	"Units"			24403.021712		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"1998"	"1998"	"USD"	"US Dollar"	"0"	"Units"			25630.468733		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"1999"	"1999"	"USD"	"US Dollar"	"0"	"Units"			27098.22127		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"2000"	"2000"	"USD"	"US Dollar"	"0"	"Units"			28252.629908		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"2001"	"2001"	"USD"	"US Dollar"	"0"	"Units"			29493.214836		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"2002"	"2002"	"USD"	"US Dollar"	"0"	"Units"			30740.962904		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"2003"	"2003"	"USD"	"US Dollar"	"0"	"Units"			32248.255843		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"2004"	"2004"	"USD"	"US Dollar"	"0"	"Units"			33865.906525		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"2005"	"2005"	"USD"	"US Dollar"	"0"	"Units"			35570.808007		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"2006"	"2006"	"USD"	"US Dollar"	"0"	"Units"			37842.933989		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"2007"	"2007"	"USD"	"US Dollar"	"0"	"Units"			39596.040062		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"2008"	"2008"	"USD"	"US Dollar"	"0"	"Units"			40094.833217		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"2009"	"2009"	"USD"	"US Dollar"	"0"	"Units"			41614.090735		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"2010"	"2010"	"USD"	"US Dollar"	"0"	"Units"			42787.065968		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"2011"	"2011"	"USD"	"US Dollar"	"0"	"Units"			44419.309758		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"2012"	"2012"	"USD"	"US Dollar"	"0"	"Units"			43879.180373		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"2013"	"2013"	"USD"	"US Dollar"	"0"	"Units"			47761.214064		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"2014"	"2014"	"USD"	"US Dollar"	"0"	"Units"			47644.762797		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"2015"	"2015"	"USD"	"US Dollar"	"0"	"Units"			47317.250714		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"2016"	"2016"	"USD"	"US Dollar"	"0"	"Units"			50237.794419		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"2017"	"2017"	"USD"	"US Dollar"	"0"	"Units"			51011.462936		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"2018"	"2018"	"USD"	"US Dollar"	"0"	"Units"			54262.882859		
"AUS"	"Australia"	"T_GDPPOP"	"GDP per head of population"	"CPC"	"USD, current prices, current PPPs"	"2019"	"2019"	"USD"	"US Dollar"	"0"	"Units"			54262.617555		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1970"	"1970"	"USD"	"US Dollar"	"0"	"Units"			5.762347		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1971"	"1971"	"USD"	"US Dollar"	"0"	"Units"			6.193578		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1972"	"1972"	"USD"	"US Dollar"	"0"	"Units"			6.713713		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1973"	"1973"	"USD"	"US Dollar"	"0"	"Units"			7.433875		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1974"	"1974"	"USD"	"US Dollar"	"0"	"Units"			7.903159		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1975"	"1975"	"USD"	"US Dollar"	"0"	"Units"			8.96333		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1976"	"1976"	"USD"	"US Dollar"	"0"	"Units"			9.471721		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1977"	"1977"	"USD"	"US Dollar"	"0"	"Units"			9.915422		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1978"	"1978"	"USD"	"US Dollar"	"0"	"Units"			11.10859		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1979"	"1979"	"USD"	"US Dollar"	"0"	"Units"			12.1195		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1980"	"1980"	"USD"	"US Dollar"	"0"	"Units"			13.318408		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1981"	"1981"	"USD"	"US Dollar"	"0"	"Units"			15.261276		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1982"	"1982"	"USD"	"US Dollar"	"0"	"Units"			16.125866		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1983"	"1983"	"USD"	"US Dollar"	"0"	"Units"			17.072358		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1984"	"1984"	"USD"	"US Dollar"	"0"	"Units"			17.859932		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1985"	"1985"	"USD"	"US Dollar"	"0"	"Units"			17.90792		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1986"	"1986"	"USD"	"US Dollar"	"0"	"Units"			18.319441		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1987"	"1987"	"USD"	"US Dollar"	"0"	"Units"			19.237617		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1988"	"1988"	"USD"	"US Dollar"	"0"	"Units"			20.021151		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1989"	"1989"	"USD"	"US Dollar"	"0"	"Units"			20.536906		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1990"	"1990"	"USD"	"US Dollar"	"0"	"Units"			21.261209		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1991"	"1991"	"USD"	"US Dollar"	"0"	"Units"			22.353168		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1992"	"1992"	"USD"	"US Dollar"	"0"	"Units"			23.59042		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1993"	"1993"	"USD"	"US Dollar"	"0"	"Units"			24.169874		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1994"	"1994"	"USD"	"US Dollar"	"0"	"Units"			24.984202		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1995"	"1995"	"USD"	"US Dollar"	"0"	"Units"			26.234368		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1996"	"1996"	"USD"	"US Dollar"	"0"	"Units"			27.464918		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1997"	"1997"	"USD"	"US Dollar"	"0"	"Units"			28.835908		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1998"	"1998"	"USD"	"US Dollar"	"0"	"Units"			30.067841		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"1999"	"1999"	"USD"	"US Dollar"	"0"	"Units"			31.196279		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"2000"	"2000"	"USD"	"US Dollar"	"0"	"Units"			32.606934		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"2001"	"2001"	"USD"	"US Dollar"	"0"	"Units"			34.308562		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"2002"	"2002"	"USD"	"US Dollar"	"0"	"Units"			35.609218		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"2003"	"2003"	"USD"	"US Dollar"	"0"	"Units"			37.096617		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"2004"	"2004"	"USD"	"US Dollar"	"0"	"Units"			38.04436		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"2005"	"2005"	"USD"	"US Dollar"	"0"	"Units"			39.511066		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"2006"	"2006"	"USD"	"US Dollar"	"0"	"Units"			41.266383		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"2007"	"2007"	"USD"	"US Dollar"	"0"	"Units"			42.934369		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"2008"	"2008"	"USD"	"US Dollar"	"0"	"Units"			45.042098		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"2009"	"2009"	"USD"	"US Dollar"	"0"	"Units"			46.303635		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"2010"	"2010"	"USD"	"US Dollar"	"0"	"Units"			47.970967		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"2011"	"2011"	"USD"	"US Dollar"	"0"	"Units"			49.165421		
"AUS"	"Australia"	"T_GDPHRS"	"GDP per hour worked"	"CPC"	"USD, current prices, current PPPs"	"2012"	"2012"	"USD"	"US Dollar"	"0"	"Units"			49.331564		
