https://www.e-stat.go.jp/dbview?sid=0003005867
表番号 1-4-5	表題	配偶関係，年齢階級別労働力人口比率，就業率及び完全失業率（2000年1月～）
tab_code,表章項目,cat01_code,産業,cat02_code,性別,cat03_code,就業状態,cat04_code,年齢階級,cat05_code,配偶関係,area_code,地域,time_code,時間軸,unit,value,annotation
tab_code,表章項目,cat01_code,産業,cat02_code,性別,cat03_code,就業状態,cat04_code,AgeGroup,cat05_code,MStatus,area_code,area,time_code,time,unit,value,annotation
02,率,000,全産業,0,総数,01,労働力人口,10,35-39,00,総数,00000,全国,2010000101,2010年1月,%,81.4,
02,率,000,全産業,0,総数,01,労働力人口,10,35-39,00,総数,00000,全国,2010000202,2010年2月,%,81.2,
02,率,000,全産業,0,総数,01,労働力人口,10,35-39,00,総数,00000,全国,2010000303,2010年3月,%,81.2,
02,率,000,全産業,0,総数,01,労働力人口,10,35-39,00,総数,00000,全国,2010000404,2010年4月,%,81.6,
02,率,000,全産業,0,総数,01,労働力人口,10,35-39,00,総数,00000,全国,2010000505,2010年5月,%,82.1,
02,率,000,全産業,0,総数,01,労働力人口,10,35-39,00,総数,00000,全国,2010000606,2010年6月,%,81.6,
02,率,000,全産業,0,総数,01,労働力人口,10,35-39,00,総数,00000,全国,2010000707,2010年7月,%,81.6,
02,率,000,全産業,0,総数,01,労働力人口,10,35-39,00,総数,00000,全国,2010000808,2010年8月,%,81.8,
02,率,000,全産業,0,総数,01,労働力人口,10,35-39,00,総数,00000,全国,2010000909,2010年9月,%,82.2,
02,率,000,全産業,0,総数,01,労働力人口,10,35-39,00,総数,00000,全国,2010001010,2010年10月,%,82.1,
02,率,000,全産業,0,総数,01,労働力人口,10,35-39,00,総数,00000,全国,2010001111,2010年11月,%,81.3,
02,率,000,全産業,0,総数,01,労働力人口,10,35-39,00,総数,00000,全国,2010001212,2010年12月,%,81.5,
02,率,000,全産業,0,総数,01,労働力人口,10,35-39,00,総数,00000,全国,2011000101,2011年1月,%,81.7,
02,率,000,全産業,0,総数,01,労働力人口,10,35-39,00,総数,00000,全国,2011000202,2011年2月,%,81.8,
02,率,000,全産業,0,総数,01,労働力人口,10,35-39,00,総数,00000,全国,2011000303,2011年3月,%,…,
02,率,000,全産業,0,総数,01,労働力人口,10,35-39,00,総数,00000,全国,2011000404,2011年4月,%,…,
