Country	Albania	Algeria	Armenia, Rep. of	Australia	Austria	Azerbaijan, Rep. of	Belarus, Rep. of	Belgium	Bosnia and Herzegovina	Brazil	Bulgaria	Canada	Central African Rep.	Chile	China, P.R.: Hong Kong	China, P.R.: Mainland	Colombia	Congo, Rep. of	Costa Rica	Croatia, Rep. of	Cyprus	Czech Rep.	Denmark	Ecuador	El Salvador	Estonia, Rep. of	Ethiopia, The Federal Dem. Rep. of	Euro Area	Finland	France	Gabon	Georgia	Germany	Ghana	Greece	Guatemala	Hungary	Iceland	Iran, Islamic Rep. of	Ireland	Israel	Italy	Japan	Jordan	Kazakhstan, Rep. of	Korea, Rep. of	Kosovo, Rep. of	Kyrgyz Rep.	Latvia	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Montenegro	Morocco	Netherlands, The	New Zealand	Nicaragua	North Macedonia, Republic of	Norway	Oman	Paraguay	Philippines	Poland, Rep. of	Portugal	Romania	Russian Federation	Senegal	Serbia, Rep. of	Slovak Rep.	Slovenia, Rep. of	South Africa	Spain	Sudan	Sweden	Switzerland	Thailand	Trinidad and Tobago	Tunisia	Turkey	Ukraine	United Kingdom	United States	Uruguay	Uzbekistan, Rep. of	Vietnam	West Bank and Gaza	Zambia	Advanced Economies
Base Year	2010	2010	2010	2010	2010	2010	2010	2010		2010	2010	2010	2005	2010	2010		2010	1985	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	1985	2010	2010	2010	2010	1985	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	1975	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	1990	
2018Q2	103.54	119.52		113.07	103.56	197.50	590.56	114.38	107.71	158.95	114.91	118.69		105.41	110.10		127.66		128.19	105.51	101.01	104.48	113.26	117.40	114.18	112.30			109.42	105.57		144.47	106.23		108.74		114.83	100.79		107.59	106.13	105.41	103.62	105.21		104.23	115.67		117.02	106.31	107.77	106.76	101.19		140.01	112.54	112.33	108.40	113.95	166.17	108.38	124.22	106.02	135.55	81.56	110.20	106.42	119.76		100.60	131.41	99.01	106.26	170.83	110.20		108.20	93.63	102.71		137.52	204.75	344.62	111.84	114.12	172.33	346.47				
2018M04					103.02	194.10	587.32	113.11	107.20	155.50	113.60	117.49		103.03		103.00	125.87		127.88	104.95	99.43	103.58	111.86	118.00	113.93	111.98		106.33	108.49	105.05		144.40	105.78		107.40		112.60	97.71		106.96	105.45	104.82	103.17	103.61		104.02			116.53	103.99	106.96	106.79	100.84		138.13		110.82	107.24		166.30	108.66	122.36		135.28	81.30	108.97	105.24	119.11	185.89	99.72	130.52	98.81	105.95	172.95	109.02		106.93	93.76	101.97		136.15	197.68	341.45	110.22	113.66	165.20	341.29				
2018M05					103.62	201.05	590.26	114.45	107.92	159.47	115.12	118.89		105.64		103.48	128.64		128.19	105.90	101.66	104.62	113.15	117.14	114.23	112.08			109.63	105.67		145.30	106.29		110.44		114.87	101.20		107.81	105.90	105.54	103.69	105.28		104.32			116.64	106.38	106.72	107.09	101.12		140.18	114.75	110.92	108.78		166.56	108.24	123.78		135.62	81.91	110.55	106.69	120.12	193.21	99.70	131.66	98.91	106.26	174.09	110.30		108.40	93.47	102.97		137.45	205.18	344.35	112.31	114.15	172.97	347.53				
2018M06					104.03	197.37	594.13	115.59	108.34	163.08	115.99	119.69		107.59		103.76	128.48		128.50	105.69	101.96	105.25	114.77	117.07	114.37	112.84			110.46	105.99		143.70	106.61		109.92		117.02	103.45		108.02	107.03	105.85	104.00	106.12		104.35			117.89	106.98	109.62	106.39	101.60		141.71	115.29	112.66	109.19		165.64	108.24	126.51		135.73	81.48	110.87	107.31	120.91	199.81	102.38	132.04	99.31	106.57	175.72	111.27		109.28	93.66	103.17		138.95	211.40	347.95	113.01	114.55	178.80	350.59				
2018Q3	104.01	120.00		114.01	104.54	203.68	598.67	116.89	108.43	167.06	115.12	118.96		104.39	106.98		129.05		128.87	106.50	104.90	105.73	115.20	116.38	114.84	114.30			110.90	106.85		144.50	107.06		110.28		117.17	103.08		104.41	106.84	107.71	104.51			105.25	116.87		119.54	109.26	110.65	107.06	101.09		140.99	116.45	113.57	109.61	115.57	164.44	107.22	128.94	112.38	136.37	81.66	111.22	107.86	121.04		102.29	132.50	100.40	106.85	174.45	112.12		110.68	93.88	103.17		140.85	232.92	358.02	113.91	114.61	181.62	355.20				
2018M07					104.23	200.77	595.53	116.31	108.34	164.92	115.12	119.29		104.55		103.86	128.18		128.58	106.22	104.59	105.56	114.98	116.09	114.80	113.69			110.97	106.51		142.50	106.81		110.44		117.24	103.15		106.21	106.69	107.29	104.41	106.48		104.84			118.90	108.08	109.93	106.69	101.03		140.78	114.65	112.55	109.30		165.12	107.71	127.81		135.73	81.42	110.97	107.62	120.69	200.42	101.49	132.42	99.90	106.78	176.86	111.59		110.26	93.76	103.17		140.15	215.13	353.35	113.01	114.74	181.56	349.10				
2018M08					104.54	201.16	597.70	116.93	108.44	166.34	114.91	118.69		103.05		104.34	127.96		128.69	106.43	104.70	105.66	115.63	116.32	114.91	114.87			110.97	106.82		144.90	107.02		110.55		117.13	102.22		104.73	106.80	107.71	104.41	107.10		105.31			120.15	108.78	110.89	106.59	100.93		140.69	114.54	112.86	109.50		165.31	106.97	128.58		136.52	81.48	110.97	107.83	121.48	200.85	102.69	132.42	100.59	106.99	178.00	112.01		110.26	93.95	103.07		140.65	229.33	358.15	114.01	114.55	181.75	352.45				
2018M09					104.84	209.10	602.81	117.44	108.86	171.18	115.34	118.89		105.57		104.91	131.02		129.35	106.85	105.41	105.98	114.98	116.74	114.80	114.34			111.08	107.23		146.10	107.33		111.39		117.13	103.86		102.28	107.03	108.12	104.71			105.61			119.58	109.28	111.13	107.89	101.31		141.51	114.97	112.66	110.02		162.89	106.97	130.43		136.85	82.09	111.50	108.14	121.82	203.57	102.70	132.67	100.69	106.78	178.98	112.76		111.53	93.95	103.27		141.75	254.29	362.45	114.70	114.55	181.55	364.04				
2018Q4	103.34	121.03		114.52	104.81	193.92	609.06	119.68	108.88	166.88	116.28	118.06		106.20	106.08		130.70		131.08	106.22	105.10	106.26	115.09	116.51	115.20	113.73			110.76	107.47		149.63	107.51		108.64		117.53	109.08		98.46	106.50	108.91	104.71			104.59	116.97		119.88	107.38	109.70	105.72	101.19		143.53	116.56	113.94	108.85	117.70	163.74	107.11	130.83	115.02	138.16	81.01	111.43	107.73	122.24		102.77	132.50	100.82	106.61	177.76	111.76		111.01	93.91	102.34		143.15	250.42	367.19	112.11	115.10	178.98	397.24				
2018M10					105.25	212.63	606.51	120.12	108.65	170.01	116.86	119.09		106.48		105.39	132.77		130.06	107.17	105.10	106.71	115.95	116.78	115.11	114.66			111.39	107.65		148.30	107.65		112.64		117.89	107.25		95.80	107.70	109.56	105.12			105.25			119.58	109.88	111.11	108.19	100.93		142.04	114.54	112.76	110.84		164.66	106.87	135.22		138.08	81.97	111.92	108.45	123.29	210.18	102.18	133.43	101.38	106.68	181.42	112.76		111.24	94.13	103.47		142.65	256.60	363.55	112.11	115.53	181.80	365.54				
