Country	Albania	Algeria	Armenia, Rep. of	Australia	Austria	Azerbaijan, Rep. of	Belarus, Rep. of	Belgium	Bosnia and Herzegovina	Brazil	Bulgaria	Canada	Central African Rep.	Chile	China, P.R.: Hong Kong	China, P.R.: Mainland	Colombia	Congo, Rep. of	Costa Rica	Croatia, Rep. of	Cyprus	Czech Rep.	Denmark	Ecuador	El Salvador	Estonia, Rep. of	Ethiopia, The Federal Dem. Rep. of	Euro Area	Finland	France	Gabon	Georgia	Germany	Ghana	Greece	Guatemala	Hungary	Iceland	Iran, Islamic Rep. of	Ireland	Israel	Italy	Japan	Jordan	Kazakhstan, Rep. of	Korea, Rep. of	Kosovo, Rep. of	Kyrgyz Rep.	Latvia	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Montenegro	Morocco	Netherlands, The	New Zealand	Nicaragua	North Macedonia, Republic of	Norway	Oman	Paraguay	Philippines	Poland, Rep. of	Portugal	Romania	Russian Federation	Senegal	Serbia, Rep. of	Slovak Rep.	Slovenia, Rep. of	South Africa	Spain	Sudan	Sweden	Switzerland	Thailand	Trinidad and Tobago	Tunisia	Turkey	Ukraine	United Kingdom	United States	Uruguay	Uzbekistan, Rep. of	Vietnam	West Bank and Gaza	Zambia	Advanced Economies
Base Year	2010	2010	2010	2010	2010	2010	2010	2010		2010	2010	2010	2005	2010	2010		2010	1985	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	1985	2010	2010	2010	2010	1985	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	1975	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	1990	
1970				12.22	42.89			27.95				19.53	10.83				0.18	21.36					16.63						16.39		21.49		37.62			27.35	4.70			15.62			56.38			7.63												35.84	7.15																	56.37	13.02	54.74	11.03					8.69	19.96					0.56	
1971				12.83	45.12			27.77				19.90	11.39				0.21	21.52					17.17						17.22		22.36		39.21			27.91	4.81			16.45			55.93			8.28												37.97	7.68																	53.94	13.32	56.91	11.06					9.48	20.62					0.59	
1972				13.44	46.88			28.91				20.79	12.10				0.24	24.26					18.18						18.66		23.46		40.25			27.72	4.91			18.21			56.83			9.44												39.80	8.22																	58.85	13.93	59.23	11.93					9.97	21.53					0.64	
1973				14.60	47.47			32.47				23.10	12.39				0.31	25.55					20.85						21.94		25.14		42.92			31.67	5.05			21.56			65.77			10.09												42.27	9.26																	68.06	15.50	64.28	14.66					10.72	24.36					0.67	
1974				16.84	54.66			37.91				27.49	14.84				0.42	29.46					25.36						27.28		30.78		48.67			38.88	5.22			24.08			83.86			14.34												46.05	10.01																13.27	86.57	19.34	73.26	18.89					13.11	28.94					0.77	
1975				19.37	58.15			38.38				30.62	17.64				0.53	33.58					26.81						30.99		35.41		50.93			43.68	5.77			30.14			86.24			18.14												48.82	11.34																14.48	100.00	20.62	74.15	19.59					16.11	31.62					0.89	
1976				21.56	61.54			41.11				32.18	18.48				0.65	38.10					28.96						33.53		41.55		52.81			48.26	6.04			35.68			90.94			20.34												52.20	13.87																16.40		22.45	73.38	20.37					18.77	33.09					1.07	
1977				23.76	63.40			42.10				34.69	19.93				0.82	42.79					31.10						36.92		47.54		54.27			54.55	6.16			42.01			93.99			22.18												55.07	16.16			19.43				0.05									19.72		24.59	73.32	21.95					22.33	35.12					1.33	
1978				25.71	64.01			41.31				37.90	21.43				0.97	47.00					32.44						38.97		51.78		54.89			56.51	6.39			45.80			93.53			24.77												55.88	18.02			20.21				0.06									22.96		26.56	72.33	23.59					24.34	37.85					1.59	
1979				29.51	66.70			43.90				43.41	24.39				1.24	50.96					35.66						42.77		54.85		57.52			62.28	6.52			51.23			98.20			29.41												57.31	21.21			21.67				0.06									26.29		29.71	73.71	26.24	21.55				27.21	42.60					1.84	
1980				33.65	72.44			46.44				49.22	28.31				1.54	58.39					41.83						49.77		63.44		61.87			72.30	7.52			56.82			112.87			40.87					51.04							61.54	26.05			24.56				0.06								7.04	30.87		33.89	77.00	31.51	25.72				31.54	48.61					2.17	
1981				36.49	78.25			52.98				54.24	32.45				1.91	66.18				23.95	48.37					52.36	56.15		69.94		66.72			80.79	8.00			66.28		35.31	114.42			49.21					56.49				0.12			66.90	30.44			27.14				0.07								7.96	35.70		37.69	81.32	34.51	30.06		0.00		34.92	53.05					2.29	
1982				39.75	80.76			60.11				57.87	37.12				2.40	76.10				25.79	53.54					56.78	60.18		80.23		70.63			75.88	8.38			74.13		39.95	114.92			51.51					66.59				0.18			69.79	35.03			29.45				0.14								8.98	40.14		42.53	84.31	34.83	34.21		0.00		37.90	54.12					2.61	
1983				42.96	81.25			64.15				59.88	40.39				2.92	81.93				25.62	56.21					59.77	63.53		86.65		71.66			76.79	8.77			78.98		44.34	114.23			51.59					69.88				0.36			70.30	36.94			31.36				0.17								9.88	45.77		47.26	85.26	35.54	38.49		0.01		40.36	54.80					3.19	
1984				45.28	84.28			69.00				62.60	42.77				3.46	93.83				27.75	60.44					63.42	66.93		92.85		73.73			81.12	9.24			84.79		48.91	114.32			51.97					74.19	47.09			0.60			73.10	39.56			33.53				0.19								10.73	51.35		50.91	87.76	34.44	40.46		0.01		42.76	56.11					3.98	
1985				48.27	86.48			70.80			0.28	64.30	45.64				4.32	100.00				28.24	62.06					66.10	69.93		100.00		75.53			100.00	9.69			88.15		52.68	113.42			52.43					76.41	46.11			0.95			75.43	45.65			35.15				0.23								12.39	55.43		53.56	89.54	34.43	42.38		0.01		45.42	55.84					5.51	
1986				50.97	81.93			62.67			0.28	64.86	47.43				5.27	103.65				28.11	57.86					64.43	66.31		102.28		73.63			142.94	9.90			87.09		52.77	108.11			51.67					74.48	43.25			1.77			67.76	48.27			33.96				0.26								14.73	55.95		52.07	88.41	34.28	45.11		0.02		46.02	54.22					11.36	
1987				54.70	80.30			59.56			0.28	66.67	47.77				6.59					28.11	57.76					63.67	66.89		104.55		71.80				10.18			88.50		54.35	104.74			51.90					69.63	44.85			4.27			66.02	52.10			35.18				0.33								16.85	56.41		53.52	87.77	36.32	46.99		0.02		47.60	55.65					22.88	
1988				59.65	80.10			60.54			0.29	69.55	46.77				8.45					28.18	60.03					64.95	69.61		109.68		72.70				10.73			92.14		56.28	104.17			53.31					71.47	48.14			8.76			66.70	54.82			36.79				0.53								19.20	58.10		56.36	89.65	39.30	49.79		0.04		49.35	57.89					24.02	
1989				62.69	81.52			64.51			0.29	70.97	48.62				10.83					28.18	63.47					67.64	73.09				74.99				12.34			96.54	28.74	59.58	106.13			54.10					76.91	50.08			9.76			69.86	58.71			38.77				1.70								22.17	60.53		60.71	92.51	41.11	54.23		0.06		51.71	60.76					46.05	
1990				66.43	83.86			63.87			0.32	71.17	49.41				13.71					29.38	64.15					69.45	75.54				76.28				14.99			94.99	32.06	62.05	107.72			56.36					75.35	50.41			11.88			68.38	61.43			40.31				12.08		0.03						24.79	61.83		63.56	94.66	42.53	55.00	46.17	0.09		54.94	62.92					100.00	
1991				67.40	84.58			63.20			1.27	70.43	48.84				17.50		11.08	0.26		50.34	64.74					71.24	75.75				78.10				20.14			95.81	37.21	64.12	108.85			59.02					73.41	52.45			14.45			68.68	61.95			41.27				18.16		0.09				43.56		27.60	62.78		64.43	95.89	45.41	55.10	48.66	0.14		57.90	63.06					193.04	
1992				68.43	84.38			62.07			0.50	70.76	48.97				21.02		13.12	2.43		55.34	64.02					72.31	76.59				79.22				22.15			97.37	40.99	65.34	107.86			60.30			17.53		71.44	53.03			16.23			67.83	63.23			41.09				23.19		0.28	0.04			45.87	32.18	29.69	63.60		63.60	96.59	45.52	55.53	50.46	0.23	0.00	59.70	63.44					447.22	
1993				69.80	84.03			60.49			0.09	73.32	48.25		86.70		24.01		13.80	39.10		62.55	63.69					73.36	78.85				79.35				25.24			101.86	44.35	67.80	106.18			61.21		2.57	38.05	28.06	70.49	53.80			17.44			66.55	64.79		32.16	40.68			38.16	30.66		0.74	0.43			53.76	39.17	31.63	65.21		67.58	97.01	45.33	58.50	52.82	0.36	0.12	62.07	64.37						
1994				70.34	85.16			61.46			1.06	77.76			88.50		28.13		15.61	69.45		64.14	64.44			44.27		74.85	79.90				79.82				28.33			103.00	47.85	70.31	104.44			62.87		8.10	44.46	40.62	71.54	56.42			18.50			67.05	65.66		60.95	41.20			39.73	39.89		1.78	1.86			59.12	46.10	34.41	67.99		70.80	96.56	47.13	61.66	54.62	0.80	1.50	63.62	65.20						
1995				72.88	85.43			63.47		24.45	1.66	83.54			90.95		33.22		19.34	69.96		68.09	66.29			55.60		78.08	80.43				81.21		56.42		36.41			105.63	52.96	75.84	103.56		14.98	65.81		9.87	49.74	52.12	74.34	59.53			25.65			68.84	66.18		63.82	42.26			41.42	50.08		2.40	6.26			64.45	51.98	38.02	72.32		76.26	96.48	50.98	63.87	57.71	1.49	8.81	66.18	67.53						
1996				73.50	85.43			64.84		25.99	3.86	83.88			90.86		38.22		22.43	70.91		71.34	67.02			63.83		78.32	79.67				80.22		59.66		44.36			106.30	57.52	77.28	101.84		18.56	67.95		12.14	56.55	61.12	72.03	60.89			34.34			69.87	66.57		63.77	43.18		28.90	43.10	56.68		3.60	9.44			67.11	55.51	41.23	73.54		74.92	94.78	51.92	65.71	59.87	2.62	13.38	67.91	69.12						
1997		61.56	57.12	74.41	85.75			67.23		28.11	41.32	84.48	74.41		90.60		44.11		25.03	72.53		74.86	68.27			69.17		79.13	80.91				81.16		61.71		53.36		18.44	105.70	61.14	78.28	102.51		21.44	70.52		15.33	58.88	63.70	73.10	62.48			40.37		72.25	72.08	66.84		66.42	43.77		29.24	44.63	63.59		9.26	10.86			70.13	58.89	44.59	74.29		75.80	94.09	54.54	66.98	61.31	4.77	14.41	68.57	69.07						
1998	68.51	64.05	65.47	71.47	85.30			65.96		29.10	48.35	84.80	74.38		88.94		51.76		27.24	71.65		78.49	67.90	14.98		72.10		78.65	79.73			45.47	80.83		63.48		59.46		21.89	106.61	63.69	78.36	100.96		21.62	79.13		16.55	59.98	58.96	74.87	69.22			46.81		70.31	70.23	67.28		69.22	44.02		33.59	49.48	68.20		12.33	11.62			72.41	62.42	46.56	73.80		75.36	92.93	61.19	67.95	63.26	8.19	16.31	68.61	67.36						
1999	70.01	66.12	69.31	70.81	84.58			65.98		33.93	49.70	86.32	75.29		87.53		56.84		30.00	73.50		79.29	68.24	25.01	66.75	71.22		78.09	79.55	82.08		51.96	80.02		65.00		62.45		26.91	107.59	68.19	78.16	99.48		25.70	77.49		25.43	57.58	59.83	71.98	66.96			53.48		70.75	70.49	67.95		69.94	45.38		35.37	52.95	71.98		17.82	18.47			75.17	63.74	48.85	74.31		76.22	92.01	58.30	69.11	63.50	12.53	21.38	68.99	67.92						
2000	73.46	67.64	69.02	75.88	88.00		11.53	72.95		40.08	58.41	89.99	80.09		87.71		64.34		33.29	80.59	68.90	83.16	72.29	54.79	71.33	74.68		83.14	85.25	85.66		54.96	82.65		68.42		69.18		31.28	113.78	70.67	82.86	99.53		35.46	79.10		33.00	57.94	71.70	74.72	69.04	111.76		57.67		77.32	79.15	73.14		77.52	48.52		40.57	59.55	77.53	83.19	27.34	27.07			82.53	68.64	52.11	78.34		80.65	92.88	60.59	70.01	65.62	18.98	25.84	69.97	71.85						
2001	69.46	70.35	69.77	78.19	88.22		19.66	74.52		45.13	60.56	90.87	87.24		86.30		70.39		36.24	80.30	70.45	85.50	75.08	64.25	72.05	77.30		86.11	84.94	87.54		56.66	85.12		70.90		73.33		34.69	115.68	70.59	84.28	97.26		35.59	78.72		36.01	58.59	69.10	75.52	69.40	112.91		60.57		75.91	79.77	77.51		79.59	47.11		42.94	68.57	78.82	85.71	37.75	32.26			87.98	74.77	56.06	79.64		82.24	93.33	62.10	70.64	67.74	30.68	28.08	70.06	72.64	32.09					
2002	73.94	72.48	72.28	78.36	87.22		27.28	74.69		52.65	61.34	90.93	94.75		83.96		74.11		39.02	79.98	72.01	85.05	76.50	67.34	70.60	76.47		85.14	83.90	87.96		60.24	84.62		72.52		73.15		39.36	114.37	73.32	84.33	95.24	52.34	35.67	78.50		37.93	58.85	66.44	74.75	68.88	110.33		63.66		74.97	78.70	77.61		78.98	45.56		51.48	69.96	79.73	86.15	46.46	35.62			89.80	78.44	63.60	79.92		82.18	92.88	63.14	71.06	69.83	46.05	28.94	69.78	70.98	42.33					
2003	78.51	75.27	78.68	78.74	87.17		36.83	73.77		67.15	64.37	89.82	98.35		83.67		80.87		43.58	81.03	74.31	84.77	76.19	69.29	72.72	76.62		86.15	83.79	88.51		62.25	86.06		74.21		74.50		45.52	105.11	76.50	85.10	94.44	53.68	38.99	80.20		40.06	60.86	66.17	75.45	72.05	104.43		68.42		75.97	79.27	77.03		79.00	47.19		65.10	76.00	81.87	86.98	55.53	41.46			97.27	80.44	65.03	80.49		82.18	92.88	65.67	71.70	71.48	57.82	31.17	69.92	74.77	58.81					
2004	87.00	78.59	68.26	81.86	88.67		45.56	79.42		74.18	68.21	92.69	97.81		85.56		85.05		50.87	83.75	77.31	89.57	78.01	73.03	77.48	78.82		87.58	85.11	90.16		65.15	87.47		76.85		77.50		53.18	102.58	80.65	87.03	95.64	56.92	45.51	85.07		43.59	65.77	71.18	83.14	77.07	101.01		74.29		79.77	82.25	78.49		79.72	52.73		68.86	85.15	87.71	89.27	66.14	51.14			99.04	83.97	66.56	83.03		82.75	93.51	70.08	74.20	73.48	66.24	37.51	71.73	79.39	67.45					
2005	91.38	81.31	73.43	86.74	91.42		51.09	84.22		78.31	73.60	94.22	100.00		86.24		87.72		58.66	87.38	81.37	92.27	84.16	76.12	84.51	80.50		90.81	88.31	92.85		70.00	91.27		81.36		80.76		58.21	102.50	85.69	90.11	97.23	62.30	56.29	86.88		44.95	70.99	80.56	88.29	82.36	100.40		77.79	81.20	87.04	87.52	82.12		82.24	61.44		75.04	92.84	88.35	92.20	73.07	61.66			102.50	86.28	68.97	86.77		86.05	94.53	76.47	75.89	76.51	70.15	43.78	77.40	85.20	65.71		60.98			
2006	92.05	83.28	74.11	93.62	92.96	62.61	55.47	89.39		78.94	83.08	96.36			88.20		91.38		66.81	88.66	85.54	93.72	90.43	78.48	88.52	84.04	46.98	94.89	93.33	95.80		77.57	96.21		87.32		86.74	60.25	65.29	103.32	90.57	94.14	99.34	72.13	66.67	87.67		52.10	78.24	86.26	93.89	87.86	106.26		82.13	84.25	92.21	92.03	87.21	65.55	87.87	69.32		80.37	103.22	90.30	96.71	77.97	69.31			105.85	88.36	74.30	91.19		90.42	96.45	81.88	79.38	82.11	75.97	47.93	82.37	89.18	69.60					90.13
2007	95.35	85.82	74.59	95.82	95.54	73.66	67.24	91.43		83.36	89.37	97.84			90.83		92.32		76.07	91.92	88.36	97.62	92.19	84.61	92.71	90.97	68.38	96.86	97.09	97.84		86.57	97.49	55.41	90.92		87.42	61.34	79.29	101.27	93.69	97.00	101.07	78.70	74.91	88.93		58.23	90.84	91.39	99.45	92.72	101.14	87.86	85.76	91.60	93.84	96.60	89.29	73.43	90.08	69.32		83.33	102.47	92.30	98.92	82.94	79.08			104.59	93.18	82.43	94.09		93.75	98.68	84.51	84.85	84.76	80.76	57.26	83.69	93.46	77.82					92.88
2008	99.35	93.82	76.20	103.76	98.88	90.91	77.47	98.82		94.78	98.60	102.10			95.96		98.98		95.43	98.19	98.02	102.01	103.93	94.58	108.09	97.37	88.83	101.77	102.58	102.37		95.02	102.82	73.01	100.05		92.32	80.38	89.29	99.86	102.69	101.94	105.69	122.92	102.50	96.53		72.99	101.48	107.31	105.54	102.17	99.90	101.08	91.86	106.29	110.69	103.77	98.87	89.39	99.20	85.14	115.39	94.15	106.64	94.66	103.64	93.46	96.01	94.15	82.50	106.90	98.39	94.24	99.49		97.84	101.69	95.01	93.31	94.69	91.03	77.61	96.02	102.63	91.01					100.33
2009	99.73	97.00	81.59	98.12	97.33	73.31	88.03	93.39		94.59	91.80	98.53		81.29	94.35		100.90		97.09	95.93	96.39	98.77	93.15	94.24	95.51	96.78	80.91	97.19	96.00	97.53		89.81	98.53	84.30	94.26		96.45	89.48	90.54	100.30	96.17	97.14	100.14	102.43	79.89	96.33	96.10	81.26	97.24	89.80	95.07	94.69	98.73	97.52	95.96	100.52	93.97	91.78	97.38	87.29	92.02	84.48	80.75	93.86	105.18	97.86	97.07	95.82	89.11	94.25	88.27	99.47	98.00	97.74	96.18		98.95	100.16	91.40	97.38	97.42	92.15	82.73	95.43	93.60	92.93		88.79			95.64
2010	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00		100.00	100.00	100.00		100.00	100.00		100.00		100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00		100.00	100.00	100.00	100.00		100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00		100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00		100.00
2011	102.63	102.14	107.75	103.39	104.06	123.91	171.39	108.91		109.44	109.58	106.94		112.17	108.31		108.83		109.46	107.13	105.04	105.52	108.60	105.48	106.05	104.44	142.51	105.15	105.59	104.56		112.82	105.26	119.95	107.44		104.22	109.18	137.86	100.68	107.76	104.77	101.43	114.70	127.23	106.71	104.55	121.80	107.62	114.72	108.54	112.32	102.15	108.93	105.22	103.60	114.80	110.90	104.72	120.92	111.87	116.28	123.30	112.63	100.92	107.49	105.82	107.10	117.71	107.56	112.83	104.60	103.78	112.04	106.45		100.38	98.80	105.45	102.84	105.82	111.09	119.06	109.13	103.87	115.93	119.63	118.43	103.63		106.18
2012	103.78	104.84	115.27	102.89	104.97	139.89	301.59	112.97		115.89	114.05	108.12		104.81	108.44		108.75		113.59	112.81	112.25	107.79	111.11	108.48	110.36	106.85	147.32	107.61	107.03	106.97		114.65	106.97	140.09	112.74		108.52	110.32	171.88	102.53	112.43	108.52	100.56	120.10	131.73	107.45	106.55	119.19	111.62	119.46	108.80	111.79	100.74	112.42	110.10	105.59	118.14	111.36	105.76	128.10	113.40	119.47	130.05	116.33	100.33	110.96	109.75	112.90	125.19	112.52	120.57	106.42	104.83	115.72	110.05		99.40	98.34	106.52	107.11	111.23	117.85	123.40	111.70	105.80	123.38	136.96	122.50	106.27		108.01
2013	103.33	105.04	120.72	104.01	104.05	134.40	343.09	112.40		122.76	112.19	108.56		100.69	105.07		107.35		116.39	112.54	109.94	108.64	112.91	109.75	111.29	111.24	153.25	107.07	106.63	106.96		112.36	106.90	154.62	112.00		109.35	105.51	236.39	102.11	112.90	107.34	101.81	117.03	131.28	105.73	109.10	111.94	113.62	115.79	105.02	108.77	97.72	117.75	111.60	107.47	115.93	110.09	107.36	133.85	111.85	120.25	127.46	116.90	92.74	109.51	109.05	115.26	129.64	109.47	123.15	105.37	105.14	122.66	109.98		96.62	98.53	106.85	109.14	113.20	123.13	123.34	115.34	107.25	128.25	153.03	128.93	107.21		107.35
2013Q1	103.40	104.70	121.28	103.05	104.67	138.41	332.63	114.21	104.86	120.88	114.18	108.96		104.49	109.89		107.22		116.09	113.83	111.72	109.01	112.18	109.16	111.52	111.01		107.82	107.20	108.06		114.47	107.51	146.49	113.03		110.08	111.78	215.12	102.07	114.19	107.88	100.81	120.31	134.01	106.30	111.27	118.96	113.06	118.72	106.87	108.56	97.77	117.16	111.32	107.81	116.89	111.42	105.94	131.87	113.02	119.02	129.80	114.94	93.25	109.90	109.76	116.20		109.68	122.84	106.26	105.16	127.95	110.84		97.19	98.59	106.81	107.98	112.26	119.86	120.83	114.50	106.82	124.75	145.52		107.18		
2013M01	103.57		123.08		104.74	138.67	329.37	114.04	105.06	120.77	113.82	107.99		105.27		103.69	106.47		115.70	113.62	111.79	109.01	111.65	108.49	111.48	110.48		107.79	106.70	107.75		114.29	107.75	144.11	112.14		109.26	114.43	206.18	101.75	113.55	107.81	100.50	120.10	132.41	105.96		118.68	113.14	118.19	107.00	107.89	97.99	116.12	110.95	107.73	115.31	111.15		130.85	112.77	118.22		116.25	93.29	109.80	109.90	116.07	127.35	109.71	122.67	106.62	105.06	129.59	111.16		97.81	98.66	106.77		111.66	119.64	121.18	113.21	106.39	124.35	144.33				
2013M02	103.39		121.10		104.74	142.11	333.22	114.35	105.69	120.87	114.80	109.59		105.63		103.89	107.07		116.27	113.93	111.99	109.01	112.51	109.21	111.58	110.80		107.89	107.30	108.17		114.81	107.54	147.78	114.11		109.58	111.25	218.37	101.75	114.45	107.91	100.92	119.84	134.84	106.68		121.02	112.91	119.89	107.00	109.59	97.32	117.61	111.37	107.93	116.12	111.97		132.13	113.40	118.88		114.68	93.59	110.10	110.00	116.46	128.36	109.53	122.80	106.03	105.03	130.40	111.37		97.42	98.56	106.97		112.06	119.49	119.28	115.00	106.88	124.65	145.59				
2013M03	103.57		120.30		104.54	134.45	335.28	114.25	103.59	121.02	113.93	109.29		102.60		103.79	108.11		116.30	113.93	111.39	109.01	112.40	109.78	111.49	111.76		107.79	107.60	108.27		114.32	107.23	147.56	112.84		111.41	109.66	220.82	102.71	114.56	107.91	101.02	121.00	134.78	106.26		117.16	113.14	118.09	106.59	108.19	97.99	117.76	111.64	107.79	116.53	111.15		132.63	112.88	119.97		113.89	92.86	109.80	109.38	116.07	128.97	109.81	123.05	106.13	105.37	131.54	109.98		96.34	98.56	106.67		113.06	120.46	121.98	115.30	107.18	125.26	146.62				
2013Q2	103.70	104.30	119.14	103.15	103.90	128.40	338.64	112.39	103.19	120.89	112.05	108.22		98.62	105.17		107.44		116.31	112.88	110.78	108.31	112.65	109.92	111.31	111.62		106.96	106.77	106.37		112.77	106.88	147.92	111.42		109.33	103.80	228.92	102.67	112.05	107.53	101.50	117.82	127.62	105.68	109.27	113.68	113.59	114.76	105.27	107.16	98.12	117.63	111.46	107.64	113.81	109.78	106.55	134.45	112.17	118.37	127.75	114.90	92.88	109.33	108.38	115.20		110.18	122.84	105.76	105.28	129.97	109.27		95.46	98.63	107.07	109.49	113.43	121.23	126.43	115.60	107.08	124.62	149.53		106.09		
2013M04	101.95		119.19		104.23	127.77	337.42	112.70	103.49	120.54	112.95	108.19		98.56		103.29	107.35		116.45	113.62	111.28	108.48	112.72	110.45	111.56	111.55		107.16	106.90	107.23		113.37	107.13	147.53	111.42		110.12	103.20	224.38	102.71	112.20	107.50	101.43	119.46	131.71	105.93		117.55	113.25	115.39	105.47	107.29	97.42	117.78	111.36	107.73	113.47	110.12		134.89	112.66	120.19		114.34	92.68	109.00	108.24	115.26	127.25	110.73	122.80	106.13	105.36	132.03	108.70		95.36	98.75	106.67		113.56	119.85	124.98	116.10	107.08	124.55	147.88				
2013M05	101.87		119.55		103.83	128.59	338.90	112.29	103.07	120.55	111.76	108.09		98.86		102.59	107.07		116.39	112.77	110.57	108.17	112.29	109.18	111.34	110.26		106.96	106.80	106.09		113.36	106.81	148.48	111.50		108.72	103.81	228.87	103.24	111.41	107.40	101.53	117.50	125.99	105.56		112.14	113.70	114.79	105.27	106.59	98.18	117.65	111.29	107.60	112.55	109.81		133.55	111.08	117.57		114.79	92.68	109.10	108.35	115.00	125.72	109.53	122.54	105.73	105.26	132.36	109.56		95.36	98.56	107.87		113.36	121.04	128.88	115.00	106.88	123.42	149.36				
2013M06	101.87		119.31		103.62	128.83	339.59	112.18	102.75	121.58	111.43	108.39		98.46		102.09	107.90		116.09	112.24	110.47	108.27	112.94	110.13	111.03	113.05		106.75	106.60	105.78		111.57	106.71	147.75	111.34		109.15	104.38	233.51	102.07	112.54	107.71	101.53	116.49	125.17	105.54		111.36	113.82	114.09	105.06	107.59	98.75	117.47	111.73	107.60	112.76	109.40		134.93	112.77	117.35		115.57	93.29	109.90	108.55	115.35	126.23	110.27	123.18	105.43	105.21	133.34	109.56		95.66	98.56	106.67		113.36	122.81	125.38	115.70	107.28	125.90	151.33				
2013Q3	102.90	105.40	121.49	104.81	103.90	136.62	344.55	112.05	102.73	123.07	111.43	108.62		99.15	102.46		107.94		116.50	112.38	109.63	108.45	114.01	109.94	111.06	111.44		106.99	106.63	106.61		110.92	106.64	154.70	112.29		109.83	103.25	245.12	102.50	113.06	107.47	102.35	115.31	131.00	105.68	106.87	107.90	113.97	116.16	104.04	108.79	97.48	117.86	111.45	107.26	114.32	110.05	108.88	133.34	111.65	121.24	124.87	117.55	92.39	109.93	109.73	114.94		109.84	123.73	105.11	105.18	132.48	110.27		96.57	98.56	106.41	109.57	113.80	124.43	122.90	116.57	107.54	130.69	155.60		107.28		
2013M07	103.01		119.68		103.73	134.16	342.20	112.60	102.75	121.82	111.32	108.39		97.68		101.69	107.57		116.50	112.14	110.07	108.48	113.37	109.73	111.05	110.58		106.96	106.50	106.51		110.94	106.61	149.22	112.31		109.26	104.17	241.88	102.71	112.43	107.40	102.04	115.17	127.37	105.52		104.90	113.70	116.19	104.65	108.19	97.80	117.92	111.34	107.46	113.06	110.02		133.71	110.98	120.29		116.69	92.19	110.10	109.69	115.03	128.67	109.90	122.80	105.04	105.06	134.32	110.30		96.54	98.56	105.97		114.06	124.03	121.88	116.90	107.57	128.11	154.33				
2013M08	102.98		120.75		103.83	137.59	345.28	111.87	102.75	122.53	111.43	108.89		99.98		101.89	107.87		116.55	112.35	109.97	108.38	114.23	108.88	111.17	111.23		106.96	106.80	106.51		111.15	106.50	152.69	112.41		110.12	101.30	244.52	102.50	113.10	107.50	102.35	115.59	131.31	105.82		108.88	113.93	116.29	103.74	108.79	97.51	117.88	111.26	107.06	113.57	110.12		133.20	111.29	121.38		117.70	93.04	109.80	110.11	114.76	132.02	110.46	124.19	105.04	105.25	135.29	110.20		96.24	98.56	106.07		114.06	124.08	123.28	116.60	107.57	130.68	154.86				
2013M09	103.04		124.67		104.13	138.11	346.16	111.67	102.44	124.86	111.54	108.59		99.79		102.09	108.38		116.44	112.67	108.85	108.48	114.44	111.22	110.98	112.51		107.06	106.60	106.82		110.66	106.81	162.19	112.15		110.12	104.27	248.27	102.28	113.66	107.50	102.66	115.17	134.31	105.70		109.93	114.27	115.99	103.74	109.39	97.13	117.77	111.76	107.26	113.67	110.02		133.11	112.66	122.04		118.26	91.95	109.90	109.38	115.02	133.75	109.16	124.19	105.24	105.23	135.78	110.30		96.93	98.56	107.17		113.26	125.17	123.48	116.20	107.47	133.30	157.63				
2013Q4	103.30	105.75	126.25	105.01	103.73	134.18	356.55	110.95	102.84	126.18	111.11	108.42		100.51	102.76		106.80		116.66	111.08	107.64	108.80	112.79	109.99	111.26	110.90		106.50	105.93	106.78		111.28	106.57	169.39	111.24		108.14	103.23	255.10	101.19	112.31	106.47	102.56	114.69	132.49	105.27	108.97	107.23	113.86	113.52	103.91	110.59	97.51	118.33	112.17	107.17	113.94	109.09	108.07	135.74	110.56	122.36	127.41	120.20	92.45	108.87	108.31	114.69		108.17	123.18	104.35	104.93	134.08	109.56		97.26	98.34	107.11	109.51	113.30	127.02	123.00	114.67	107.54	132.91	161.49		108.29		
